"ZIP
code [1]",Size of adjusted gross income,,,,,
,,,,,,
11751,,,,,,
11751,"$1 under $25,000",,,,,
11751,"$25,000 under $50,000",,,,,
11751,"$50,000 under $75,000",,,,,
11751,"$75,000 under $100,000",,,,,
11751,"$100,000 under $200,000",,,,,
11751,"$200,000 or more",,,,,
,,,,,,
11752,,,,,,
11752,"$1 under $25,000",,,,,
11752,"$25,000 under $50,000",,,,,
11752,"$50,000 under $75,000",,,,,
11752,"$75,000 under $100,000",,,,,
11752,"$100,000 under $200,000",,,,,
11752,"$200,000 or more",,,,,
,,,,,,
11753,,,,,,
11753,"$1 under $25,000",,,,,
11753,"$25,000 under $50,000",,,,,
11753,"$50,000 under $75,000",,,,,
11753,"$75,000 under $100,000",,,,,
11753,"$100,000 under $200,000",,,,,
11753,"$200,000 or more",,,,,
,,,,,,
11754,,,,,,
11754,"$1 under $25,000",,,,,
11754,"$25,000 under $50,000",,,,,
11754,"$50,000 under $75,000",,,,,
11754,"$75,000 under $100,000",,,,,
11754,"$100,000 under $200,000",,,,,
11754,"$200,000 or more",,,,,
,,,,,,
11755,,,,,,
11755,"$1 under $25,000",,,,,
11755,"$25,000 under $50,000",,,,,
11755,"$50,000 under $75,000",,,,,
11755,"$75,000 under $100,000",,,,,
11755,"$100,000 under $200,000",,,,,
11755,"$200,000 or more",,,,,
,,,,,,
11756,,,,,,
11756,"$1 under $25,000",,,,,
11756,"$25,000 under $50,000",,,,,
11756,"$50,000 under $75,000",,,,,
11756,"$75,000 under $100,000",,,,,
11756,"$100,000 under $200,000",,,,,
11756,"$200,000 or more",,,,,
,,,,,,
11757,,,,,,
11757,"$1 under $25,000",,,,,
11757,"$25,000 under $50,000",,,,,
11757,"$50,000 under $75,000",,,,,
11757,"$75,000 under $100,000",,,,,
11757,"$100,000 under $200,000",,,,,
11757,"$200,000 or more",,,,,
,,,,,,
11758,,,,,,
11758,"$1 under $25,000",,,,,
11758,"$25,000 under $50,000",,,,,
11758,"$50,000 under $75,000",,,,,
11758,"$75,000 under $100,000",,,,,
11758,"$100,000 under $200,000",,,,,
11758,"$200,000 or more",,,,,
,,,,,,
11762,,,,,,
11762,"$1 under $25,000",,,,,
11762,"$25,000 under $50,000",,,,,
11762,"$50,000 under $75,000",,,,,
11762,"$75,000 under $100,000",,,,,
11762,"$100,000 under $200,000",,,,,
11762,"$200,000 or more",,,,,
,,,,,,
11763,,,,,,
11763,"$1 under $25,000",,,,,
11763,"$25,000 under $50,000",,,,,
11763,"$50,000 under $75,000",,,,,
11763,"$75,000 under $100,000",,,,,
11763,"$100,000 under $200,000",,,,,
11763,"$200,000 or more",,,,,
,,,,,,
11764,,,,,,
11764,"$1 under $25,000",,,,,
11764,"$25,000 under $50,000",,,,,
11764,"$50,000 under $75,000",,,,,
11764,"$75,000 under $100,000",,,,,
11764,"$100,000 under $200,000",,,,,
11764,"$200,000 or more",,,,,
,,,,,,
11765,,,,,,
11765,"$1 under $25,000",,,,,
11765,"$25,000 under $50,000",,,,,
11765,"$50,000 under $75,000",,,,,
11765,"$75,000 under $100,000",,,,,
11765,"$100,000 under $200,000",,,,,
11765,"$200,000 or more",,,,,
,,,,,,
11766,,,,,,
11766,"$1 under $25,000",,,,,
11766,"$25,000 under $50,000",,,,,
11766,"$50,000 under $75,000",,,,,
11766,"$75,000 under $100,000",,,,,
11766,"$100,000 under $200,000",,,,,
11766,"$200,000 or more",,,,,
,,,,,,
11767,,,,,,
11767,"$1 under $25,000",,,,,
11767,"$25,000 under $50,000",,,,,
11767,"$50,000 under $75,000",,,,,
11767,"$75,000 under $100,000",,,,,
11767,"$100,000 under $200,000",,,,,
11767,"$200,000 or more",,,,,
,,,,,,
11768,,,,,,
11768,"$1 under $25,000",,,,,
11768,"$25,000 under $50,000",,,,,
11768,"$50,000 under $75,000",,,,,
11768,"$75,000 under $100,000",,,,,
11768,"$100,000 under $200,000",,,,,
11768,"$200,000 or more",,,,,
,,,,,,
11769,,,,,,
11769,"$1 under $25,000",,,,,
11769,"$25,000 under $50,000",,,,,
11769,"$50,000 under $75,000",,,,,
11769,"$75,000 under $100,000",,,,,
11769,"$100,000 under $200,000",,,,,
11769,"$200,000 or more",,,,,
,,,,,,
11771,,,,,,
11771,"$1 under $25,000",,,,,
11771,"$25,000 under $50,000",,,,,
11771,"$50,000 under $75,000",,,,,
11771,"$75,000 under $100,000",,,,,
11771,"$100,000 under $200,000",,,,,
11771,"$200,000 or more",,,,,
,,,,,,
11772,,,,,,
11772,"$1 under $25,000",,,,,
11772,"$25,000 under $50,000",,,,,
11772,"$50,000 under $75,000",,,,,
11772,"$75,000 under $100,000",,,,,
11772,"$100,000 under $200,000",,,,,
11772,"$200,000 or more",,,,,
,,,,,,
11776,,,,,,
11776,"$1 under $25,000",,,,,
11776,"$25,000 under $50,000",,,,,
11776,"$50,000 under $75,000",,,,,
11776,"$75,000 under $100,000",,,,,
11776,"$100,000 under $200,000",,,,,
11776,"$200,000 or more",,,,,
,,,,,,
11777,,,,,,
11777,"$1 under $25,000",,,,,
11777,"$25,000 under $50,000",,,,,
11777,"$50,000 under $75,000",,,,,
11777,"$75,000 under $100,000",,,,,
11777,"$100,000 under $200,000",,,,,
11777,"$200,000 or more",,,,,
,,,,,,
11778,,,,,,
11778,"$1 under $25,000",,,,,
11778,"$25,000 under $50,000",,,,,
11778,"$50,000 under $75,000",,,,,
11778,"$75,000 under $100,000",,,,,
11778,"$100,000 under $200,000",,,,,
11778,"$200,000 or more",,,,,
,,,,,,
11779,,,,,,
11779,"$1 under $25,000",,,,,
11779,"$25,000 under $50,000",,,,,
11779,"$50,000 under $75,000",,,,,
11779,"$75,000 under $100,000",,,,,
11779,"$100,000 under $200,000",,,,,
11779,"$200,000 or more",,,,,
,,,,,,
11780,,,,,,
11780,"$1 under $25,000",,,,,
11780,"$25,000 under $50,000",,,,,
11780,"$50,000 under $75,000",,,,,
11780,"$75,000 under $100,000",,,,,
11780,"$100,000 under $200,000",,,,,
11780,"$200,000 or more",,,,,
,,,,,,
11782,,,,,,
11782,"$1 under $25,000",,,,,
11782,"$25,000 under $50,000",,,,,
11782,"$50,000 under $75,000",,,,,
11782,"$75,000 under $100,000",,,,,
11782,"$100,000 under $200,000",,,,,
11782,"$200,000 or more",,,,,
,,,,,,
11783,,,,,,
11783,"$1 under $25,000",,,,,
11783,"$25,000 under $50,000",,,,,
11783,"$50,000 under $75,000",,,,,
11783,"$75,000 under $100,000",,,,,
11783,"$100,000 under $200,000",,,,,
11783,"$200,000 or more",,,,,
,,,,,,
11784,,,,,,
11784,"$1 under $25,000",,,,,
11784,"$25,000 under $50,000",,,,,
11784,"$50,000 under $75,000",,,,,
11784,"$75,000 under $100,000",,,,,
11784,"$100,000 under $200,000",,,,,
11784,"$200,000 or more",,,,,
,,,,,,
11786,,,,,,
11786,"$1 under $25,000",,,,,
11786,"$25,000 under $50,000",,,,,
11786,"$50,000 under $75,000",,,,,
11786,"$75,000 under $100,000",,,,,
11786,"$100,000 under $200,000",,,,,
11786,"$200,000 or more",,,,,
,,,,,,
11787,,,,,,
11787,"$1 under $25,000",,,,,
11787,"$25,000 under $50,000",,,,,
11787,"$50,000 under $75,000",,,,,
11787,"$75,000 under $100,000",,,,,
11787,"$100,000 under $200,000",,,,,
11787,"$200,000 or more",,,,,
,,,,,,
11788,,,,,,
11788,"$1 under $25,000",,,,,
11788,"$25,000 under $50,000",,,,,
11788,"$50,000 under $75,000",,,,,
11788,"$75,000 under $100,000",,,,,
11788,"$100,000 under $200,000",,,,,
11788,"$200,000 or more",,,,,
,,,,,,
11789,,,,,,
11789,"$1 under $25,000",,,,,
11789,"$25,000 under $50,000",,,,,
11789,"$50,000 under $75,000",,,,,
11789,"$75,000 under $100,000",,,,,
11789,"$100,000 under $200,000",,,,,
11789,"$200,000 or more",,,,,
,,,,,,
11790,,,,,,
11790,"$1 under $25,000",,,,,
11790,"$25,000 under $50,000",,,,,
11790,"$50,000 under $75,000",,,,,
11790,"$75,000 under $100,000",,,,,
11790,"$100,000 under $200,000",,,,,
11790,"$200,000 or more",,,,,
,,,,,,
11791,,,,,,
11791,"$1 under $25,000",,,,,
11791,"$25,000 under $50,000",,,,,
11791,"$50,000 under $75,000",,,,,
11791,"$75,000 under $100,000",,,,,
11791,"$100,000 under $200,000",,,,,
11791,"$200,000 or more",,,,,
,,,,,,
11792,,,,,,
11792,"$1 under $25,000",,,,,
11792,"$25,000 under $50,000",,,,,
11792,"$50,000 under $75,000",,,,,
11792,"$75,000 under $100,000",,,,,
11792,"$100,000 under $200,000",,,,,
11792,"$200,000 or more",,,,,
,,,,,,
11793,,,,,,
11793,"$1 under $25,000",,,,,
11793,"$25,000 under $50,000",,,,,
11793,"$50,000 under $75,000",,,,,
11793,"$75,000 under $100,000",,,,,
11793,"$100,000 under $200,000",,,,,
11793,"$200,000 or more",,,,,
,,,,,,
11795,,,,,,
11795,"$1 under $25,000",,,,,
11795,"$25,000 under $50,000",,,,,
11795,"$50,000 under $75,000",,,,,
11795,"$75,000 under $100,000",,,,,
11795,"$100,000 under $200,000",,,,,
11795,"$200,000 or more",,,,,
,,,,,,
11796,,,,,,
11796,"$1 under $25,000",,,,,
11796,"$25,000 under $50,000",,,,,
11796,"$50,000 under $75,000",,,,,
11796,"$75,000 under $100,000",,,,,
11796,"$100,000 under $200,000",,,,,
11796,"$200,000 or more",,,,,
,,,,,,
11797,,,,,,
11797,"$1 under $25,000",,,,,
11797,"$25,000 under $50,000",,,,,
11797,"$50,000 under $75,000",,,,,
11797,"$75,000 under $100,000",,,,,
11797,"$100,000 under $200,000",,,,,
11797,"$200,000 or more",,,,,
,,,,,,
11798,,,,,,
11798,"$1 under $25,000",,,,,
11798,"$25,000 under $50,000",,,,,
11798,"$50,000 under $75,000",,,,,
11798,"$75,000 under $100,000",,,,,
11798,"$100,000 under $200,000",,,,,
11798,"$200,000 or more",,,,,
,,,,,,
11801,,,,,,
11801,"$1 under $25,000",,,,,
11801,"$25,000 under $50,000",,,,,
11801,"$50,000 under $75,000",,,,,
11801,"$75,000 under $100,000",,,,,
11801,"$100,000 under $200,000",,,,,
11801,"$200,000 or more",,,,,
,,,,,,
11803,,,,,,
11803,"$1 under $25,000",,,,,
11803,"$25,000 under $50,000",,,,,
11803,"$50,000 under $75,000",,,,,
11803,"$75,000 under $100,000",,,,,
11803,"$100,000 under $200,000",,,,,
11803,"$200,000 or more",,,,,
,,,,,,
11804,,,,,,
11804,"$1 under $25,000",,,,,
11804,"$25,000 under $50,000",,,,,
11804,"$50,000 under $75,000",,,,,
11804,"$75,000 under $100,000",,,,,
11804,"$100,000 under $200,000",,,,,
11804,"$200,000 or more",,,,,
,,,,,,
11901,,,,,,
11901,"$1 under $25,000",,,,,
11901,"$25,000 under $50,000",,,,,
11901,"$50,000 under $75,000",,,,,
11901,"$75,000 under $100,000",,,,,
11901,"$100,000 under $200,000",,,,,
11901,"$200,000 or more",,,,,
,,,,,,
11933,,,,,,
11933,"$1 under $25,000",,,,,
11933,"$25,000 under $50,000",,,,,
11933,"$50,000 under $75,000",,,,,
11933,"$75,000 under $100,000",,,,,
11933,"$100,000 under $200,000",,,,,
11933,"$200,000 or more",,,,,
,,,,,,
11934,,,,,,
11934,"$1 under $25,000",,,,,
11934,"$25,000 under $50,000",,,,,
11934,"$50,000 under $75,000",,,,,
11934,"$75,000 under $100,000",,,,,
11934,"$100,000 under $200,000",,,,,
11934,"$200,000 or more",,,,,
,,,,,,
11935,,,,,,
11935,"$1 under $25,000",,,,,
11935,"$25,000 under $50,000",,,,,
11935,"$50,000 under $75,000",,,,,
11935,"$75,000 under $100,000",,,,,
11935,"$100,000 under $200,000",,,,,
11935,"$200,000 or more",,,,,
,,,,,,
11937,,,,,,
11937,"$1 under $25,000",,,,,
11937,"$25,000 under $50,000",,,,,
11937,"$50,000 under $75,000",,,,,
11937,"$75,000 under $100,000",,,,,
11937,"$100,000 under $200,000",,,,,
11937,"$200,000 or more",,,,,
,,,,,,
11939,,,,,,
11939,"$1 under $25,000",,,,,
11939,"$25,000 under $50,000",,,,,
11939,"$50,000 under $75,000",,,,,
11939,"$75,000 under $100,000",,,,,
11939,"$100,000 under $200,000",,,,,
11939,"$200,000 or more",,,,,
,,,,,,
11940,,,,,,
11940,"$1 under $25,000",,,,,
11940,"$25,000 under $50,000",,,,,
11940,"$50,000 under $75,000",,,,,
11940,"$75,000 under $100,000",,,,,
11940,"$100,000 under $200,000",,,,,
11940,"$200,000 or more",,,,,
,,,,,,
11941,,,,,,
11941,"$1 under $25,000",,,,,
11941,"$25,000 under $50,000",,,,,
11941,"$50,000 under $75,000",,,,,
11941,"$75,000 under $100,000",,,,,
11941,"$100,000 under $200,000",,,,,
11941,"$200,000 or more",,,,,
,,,,,,
11942,,,,,,
11942,"$1 under $25,000",,,,,
11942,"$25,000 under $50,000",,,,,
11942,"$50,000 under $75,000",,,,,
11942,"$75,000 under $100,000",,,,,
11942,"$100,000 under $200,000",,,,,
11942,"$200,000 or more",,,,,
,,,,,,
11944,,,,,,
11944,"$1 under $25,000",,,,,
11944,"$25,000 under $50,000",,,,,
11944,"$50,000 under $75,000",,,,,
11944,"$75,000 under $100,000",,,,,
11944,"$100,000 under $200,000",,,,,
11944,"$200,000 or more",,,,,
,,,,,,
11946,,,,,,
11946,"$1 under $25,000",,,,,
11946,"$25,000 under $50,000",,,,,
11946,"$50,000 under $75,000",,,,,
11946,"$75,000 under $100,000",,,,,
11946,"$100,000 under $200,000",,,,,
11946,"$200,000 or more",,,,,
,,,,,,
11948,,,,,,
11948,"$1 under $25,000",,,,,
11948,"$25,000 under $50,000",,,,,
11948,"$50,000 under $75,000",,,,,
11948,"$75,000 under $100,000",,,,,
11948,"$100,000 under $200,000",,,,,
11948,"$200,000 or more",,,,,
,,,,,,
11949,,,,,,
11949,"$1 under $25,000",,,,,
11949,"$25,000 under $50,000",,,,,
11949,"$50,000 under $75,000",,,,,
11949,"$75,000 under $100,000",,,,,
11949,"$100,000 under $200,000",,,,,
11949,"$200,000 or more",,,,,
,,,,,,
11950,,,,,,
11950,"$1 under $25,000",,,,,
11950,"$25,000 under $50,000",,,,,
11950,"$50,000 under $75,000",,,,,
11950,"$75,000 under $100,000",,,,,
11950,"$100,000 under $200,000",,,,,
11950,"$200,000 or more",,,,,
,,,,,,
11951,,,,,,
11951,"$1 under $25,000",,,,,
11951,"$25,000 under $50,000",,,,,
11951,"$50,000 under $75,000",,,,,
11951,"$75,000 under $100,000",,,,,
11951,"$100,000 under $200,000",,,,,
11951,"$200,000 or more",,,,,
,,,,,,
11952,,,,,,
11952,"$1 under $25,000",,,,,
11952,"$25,000 under $50,000",,,,,
11952,"$50,000 under $75,000",,,,,
11952,"$75,000 under $100,000",,,,,
11952,"$100,000 under $200,000",,,,,
11952,"$200,000 or more",,,,,
,,,,,,
11953,,,,,,
11953,"$1 under $25,000",,,,,
11953,"$25,000 under $50,000",,,,,
11953,"$50,000 under $75,000",,,,,
11953,"$75,000 under $100,000",,,,,
11953,"$100,000 under $200,000",,,,,
11953,"$200,000 or more",,,,,
,,,,,,
11954,,,,,,
11954,"$1 under $25,000",,,,,
11954,"$25,000 under $50,000",,,,,
11954,"$50,000 under $75,000",,,,,
11954,"$75,000 under $100,000",,,,,
11954,"$100,000 under $200,000",,,,,
11954,"$200,000 or more",,,,,
,,,,,,
11955,,,,,,
11955,"$1 under $25,000",,,,,
11955,"$25,000 under $50,000",,,,,
11955,"$50,000 under $75,000",,,,,
11955,"$75,000 under $100,000",,,,,
11955,"$100,000 under $200,000",,,,,
11955,"$200,000 or more",,,,,
,,,,,,
11957,,,,,,
11957,"$1 under $25,000",,,,,
11957,"$25,000 under $50,000",,,,,
11957,"$50,000 under $75,000",,,,,
11957,"$75,000 under $100,000",,,,,
11957,"$100,000 under $200,000",,,,,
11957,"$200,000 or more",,,,,
,,,,,,
11958,,,,,,
11958,"$1 under $25,000",,,,,
11958,"$25,000 under $50,000",,,,,
11958,"$50,000 under $75,000",,,,,
11958,"$75,000 under $100,000",,,,,
11958,"$100,000 under $200,000",,,,,
11958,"$200,000 or more",,,,,
,,,,,,
11961,,,,,,
11961,"$1 under $25,000",,,,,
11961,"$25,000 under $50,000",,,,,
11961,"$50,000 under $75,000",,,,,
11961,"$75,000 under $100,000",,,,,
11961,"$100,000 under $200,000",,,,,
11961,"$200,000 or more",,,,,
,,,,,,
11963,,,,,,
11963,"$1 under $25,000",,,,,
11963,"$25,000 under $50,000",,,,,
11963,"$50,000 under $75,000",,,,,
11963,"$75,000 under $100,000",,,,,
11963,"$100,000 under $200,000",,,,,
11963,"$200,000 or more",,,,,
,,,,,,
11967,,,,,,
11967,"$1 under $25,000",,,,,
11967,"$25,000 under $50,000",,,,,
11967,"$50,000 under $75,000",,,,,
11967,"$75,000 under $100,000",,,,,
11967,"$100,000 under $200,000",,,,,
11967,"$200,000 or more",,,,,
,,,,,,
11968,,,,,,
11968,"$1 under $25,000",,,,,
11968,"$25,000 under $50,000",,,,,
11968,"$50,000 under $75,000",,,,,
11968,"$75,000 under $100,000",,,,,
11968,"$100,000 under $200,000",,,,,
11968,"$200,000 or more",,,,,
,,,,,,
11971,,,,,,
11971,"$1 under $25,000",,,,,
11971,"$25,000 under $50,000",,,,,
11971,"$50,000 under $75,000",,,,,
11971,"$75,000 under $100,000",,,,,
11971,"$100,000 under $200,000",,,,,
11971,"$200,000 or more",,,,,
,,,,,,
11976,,,,,,
11976,"$1 under $25,000",,,,,
11976,"$25,000 under $50,000",,,,,
11976,"$50,000 under $75,000",,,,,
11976,"$75,000 under $100,000",,,,,
11976,"$100,000 under $200,000",,,,,
11976,"$200,000 or more",,,,,
,,,,,,
11977,,,,,,
11977,"$1 under $25,000",,,,,
11977,"$25,000 under $50,000",,,,,
11977,"$50,000 under $75,000",,,,,
11977,"$75,000 under $100,000",,,,,
11977,"$100,000 under $200,000",,,,,
11977,"$200,000 or more",,,,,
,,,,,,
11978,,,,,,
11978,"$1 under $25,000",,,,,
11978,"$25,000 under $50,000",,,,,
11978,"$50,000 under $75,000",,,,,
11978,"$75,000 under $100,000",,,,,
11978,"$100,000 under $200,000",,,,,
11978,"$200,000 or more",,,,,
,,,,,,
11980,,,,,,
11980,"$1 under $25,000",,,,,
11980,"$25,000 under $50,000",,,,,
11980,"$50,000 under $75,000",,,,,
11980,"$75,000 under $100,000",,,,,
11980,"$100,000 under $200,000",,,,,
11980,"$200,000 or more",,,,,
,,,,,,
12007,,,,,,
12007,"$1 under $25,000",,,,,
12007,"$25,000 under $50,000",,,,,
12007,"$50,000 under $75,000",,,,,
12007,"$75,000 under $100,000",,,,,
12007,"$100,000 under $200,000",,,,,
12007,"$200,000 or more",,,,,
,,,,,,
12008,,,,,,
12008,"$1 under $25,000",,,,,
12008,"$25,000 under $50,000",,,,,
12008,"$50,000 under $75,000",,,,,
12008,"$75,000 under $100,000",,,,,
12008,"$100,000 under $200,000",,,,,
12008,"$200,000 or more",,,,,
,,,,,,
12009,,,,,,
12009,"$1 under $25,000",,,,,
12009,"$25,000 under $50,000",,,,,
12009,"$50,000 under $75,000",,,,,
12009,"$75,000 under $100,000",,,,,
12009,"$100,000 under $200,000",,,,,
12009,"$200,000 or more",,,,,
,,,,,,
12010,,,,,,
12010,"$1 under $25,000",,,,,
12010,"$25,000 under $50,000",,,,,
12010,"$50,000 under $75,000",,,,,
12010,"$75,000 under $100,000",,,,,
12010,"$100,000 under $200,000",,,,,
12010,"$200,000 or more",,,,,
,,,,,,
12015,,,,,,
12015,"$1 under $25,000",,,,,
12015,"$25,000 under $50,000",,,,,
12015,"$50,000 under $75,000",,,,,
12015,"$75,000 under $100,000",,,,,
12015,"$100,000 under $200,000",,,,,
12015,"$200,000 or more",,,,,
,,,,,,
12017,,,,,,
12017,"$1 under $25,000",,,,,
12017,"$25,000 under $50,000",,,,,
12017,"$50,000 under $75,000",,,,,
12017,"$75,000 under $100,000",,,,,
12017,"$100,000 under $200,000",,,,,
12017,"$200,000 or more",,,,,
,,,,,,
12018,,,,,,
12018,"$1 under $25,000",,,,,
12018,"$25,000 under $50,000",,,,,
12018,"$50,000 under $75,000",,,,,
12018,"$75,000 under $100,000",,,,,
12018,"$100,000 under $200,000",,,,,
12018,"$200,000 or more",,,,,
,,,,,,
12019,,,,,,
12019,"$1 under $25,000",,,,,
12019,"$25,000 under $50,000",,,,,
12019,"$50,000 under $75,000",,,,,
12019,"$75,000 under $100,000",,,,,
12019,"$100,000 under $200,000",,,,,
12019,"$200,000 or more",,,,,
,,,,,,
12020,,,,,,
12020,"$1 under $25,000",,,,,
12020,"$25,000 under $50,000",,,,,
12020,"$50,000 under $75,000",,,,,
12020,"$75,000 under $100,000",,,,,
12020,"$100,000 under $200,000",,,,,
12020,"$200,000 or more",,,,,
,,,,,,
12022,,,,,,
12022,"$1 under $25,000",,,,,
12022,"$25,000 under $50,000",,,,,
12022,"$50,000 under $75,000",,,,,
12022,"$75,000 under $100,000",,,,,
12022,"$100,000 under $200,000",,,,,
12022,"$200,000 or more",,,,,
,,,,,,
12023,,,,,,
12023,"$1 under $25,000",,,,,
12023,"$25,000 under $50,000",,,,,
12023,"$50,000 under $75,000",,,,,
12023,"$75,000 under $100,000",,,,,
12023,"$100,000 under $200,000",,,,,
12023,"$200,000 or more",,,,,
,,,,,,
12025,,,,,,
12025,"$1 under $25,000",,,,,
12025,"$25,000 under $50,000",,,,,
12025,"$50,000 under $75,000",,,,,
12025,"$75,000 under $100,000",,,,,
12025,"$100,000 under $200,000",,,,,
12025,"$200,000 or more",,,,,
,,,,,,
12027,,,,,,
12027,"$1 under $25,000",,,,,
12027,"$25,000 under $50,000",,,,,
12027,"$50,000 under $75,000",,,,,
12027,"$75,000 under $100,000",,,,,
12027,"$100,000 under $200,000",,,,,
12027,"$200,000 or more",,,,,
,,,,,,
12028,,,,,,
12028,"$1 under $25,000",,,,,
12028,"$25,000 under $50,000",,,,,
12028,"$50,000 under $75,000",,,,,
12028,"$75,000 under $100,000",,,,,
12028,"$100,000 under $200,000",,,,,
12028,"$200,000 or more",,,,,
,,,,,,
12029,,,,,,
12029,"$1 under $25,000",,,,,
12029,"$25,000 under $50,000",,,,,
12029,"$50,000 under $75,000",,,,,
12029,"$75,000 under $100,000",,,,,
12029,"$100,000 under $200,000",,,,,
12029,"$200,000 or more",,,,,
,,,,,,
12031,,,,,,
12031,"$1 under $25,000",,,,,
12031,"$25,000 under $50,000",,,,,
12031,"$50,000 under $75,000",,,,,
12031,"$75,000 under $100,000",,,,,
12031,"$100,000 under $200,000",,,,,
12031,"$200,000 or more",,,,,
,,,,,,
12032,,,,,,
12032,"$1 under $25,000",,,,,
12032,"$25,000 under $50,000",,,,,
12032,"$50,000 under $75,000",,,,,
12032,"$75,000 under $100,000",,,,,
12032,"$100,000 under $200,000",,,,,
12032,"$200,000 or more",,,,,
,,,,,,
12033,,,,,,
12033,"$1 under $25,000",,,,,
12033,"$25,000 under $50,000",,,,,
12033,"$50,000 under $75,000",,,,,
12033,"$75,000 under $100,000",,,,,
12033,"$100,000 under $200,000",,,,,
12033,"$200,000 or more",,,,,
,,,,,,
12035,,,,,,
12035,"$1 under $25,000",,,,,
12035,"$25,000 under $50,000",,,,,
12035,"$50,000 under $75,000",,,,,
12035,"$75,000 under $100,000",,,,,
12035,"$100,000 under $200,000",,,,,
12035,"$200,000 or more",,,,,
,,,,,,
12037,,,,,,
12037,"$1 under $25,000",,,,,
12037,"$25,000 under $50,000",,,,,
12037,"$50,000 under $75,000",,,,,
12037,"$75,000 under $100,000",,,,,
12037,"$100,000 under $200,000",,,,,
12037,"$200,000 or more",,,,,
,,,,,,
12041,,,,,,
12041,"$1 under $25,000",,,,,
12041,"$25,000 under $50,000",,,,,
12041,"$50,000 under $75,000",,,,,
12041,"$75,000 under $100,000",,,,,
12041,"$100,000 under $200,000",,,,,
12041,"$200,000 or more",,,,,
,,,,,,
12042,,,,,,
12042,"$1 under $25,000",,,,,
12042,"$25,000 under $50,000",,,,,
12042,"$50,000 under $75,000",,,,,
12042,"$75,000 under $100,000",,,,,
12042,"$100,000 under $200,000",,,,,
12042,"$200,000 or more",,,,,
,,,,,,
12043,,,,,,
12043,"$1 under $25,000",,,,,
12043,"$25,000 under $50,000",,,,,
12043,"$50,000 under $75,000",,,,,
12043,"$75,000 under $100,000",,,,,
12043,"$100,000 under $200,000",,,,,
12043,"$200,000 or more",,,,,
,,,,,,
12046,,,,,,
12046,"$1 under $25,000",,,,,
12046,"$25,000 under $50,000",,,,,
12046,"$50,000 under $75,000",,,,,
12046,"$75,000 under $100,000",,,,,
12046,"$100,000 under $200,000",,,,,
12046,"$200,000 or more",,,,,
,,,,,,
12047,,,,,,
12047,"$1 under $25,000",,,,,
12047,"$25,000 under $50,000",,,,,
12047,"$50,000 under $75,000",,,,,
12047,"$75,000 under $100,000",,,,,
12047,"$100,000 under $200,000",,,,,
12047,"$200,000 or more",,,,,
,,,,,,
12051,,,,,,
12051,"$1 under $25,000",,,,,
12051,"$25,000 under $50,000",,,,,
12051,"$50,000 under $75,000",,,,,
12051,"$75,000 under $100,000",,,,,
12051,"$100,000 under $200,000",,,,,
12051,"$200,000 or more",,,,,
,,,,,,
12052,,,,,,
12052,"$1 under $25,000",,,,,
12052,"$25,000 under $50,000",,,,,
12052,"$50,000 under $75,000",,,,,
12052,"$75,000 under $100,000",,,,,
12052,"$100,000 under $200,000",,,,,
12052,"$200,000 or more",,,,,
,,,,,,
12053,,,,,,
12053,"$1 under $25,000",,,,,
12053,"$25,000 under $50,000",,,,,
12053,"$50,000 under $75,000",,,,,
12053,"$75,000 under $100,000",,,,,
12053,"$100,000 under $200,000",,,,,
12053,"$200,000 or more",,,,,
,,,,,,
12054,,,,,,
12054,"$1 under $25,000",,,,,
12054,"$25,000 under $50,000",,,,,
12054,"$50,000 under $75,000",,,,,
12054,"$75,000 under $100,000",,,,,
12054,"$100,000 under $200,000",,,,,
12054,"$200,000 or more",,,,,
,,,,,,
12056,,,,,,
12056,"$1 under $25,000",,,,,
12056,"$25,000 under $50,000",,,,,
12056,"$50,000 under $75,000",,,,,
12056,"$75,000 under $100,000",,,,,
12056,"$100,000 under $200,000",,,,,
12056,"$200,000 or more",,,,,
,,,,,,
12057,,,,,,
12057,"$1 under $25,000",,,,,
12057,"$25,000 under $50,000",,,,,
12057,"$50,000 under $75,000",,,,,
12057,"$75,000 under $100,000",,,,,
12057,"$100,000 under $200,000",,,,,
12057,"$200,000 or more",,,,,
,,,,,,
12058,,,,,,
12058,"$1 under $25,000",,,,,
12058,"$25,000 under $50,000",,,,,
12058,"$50,000 under $75,000",,,,,
12058,"$75,000 under $100,000",,,,,
12058,"$100,000 under $200,000",,,,,
12058,"$200,000 or more",,,,,
,,,,,,
12059,,,,,,
12059,"$1 under $25,000",,,,,
12059,"$25,000 under $50,000",,,,,
12059,"$50,000 under $75,000",,,,,
12059,"$75,000 under $100,000",,,,,
12059,"$100,000 under $200,000",,,,,
12059,"$200,000 or more",,,,,
,,,,,,
12060,,,,,,
12060,"$1 under $25,000",,,,,
12060,"$25,000 under $50,000",,,,,
12060,"$50,000 under $75,000",,,,,
12060,"$75,000 under $100,000",,,,,
12060,"$100,000 under $200,000",,,,,
12060,"$200,000 or more",,,,,
,,,,,,
12061,,,,,,
12061,"$1 under $25,000",,,,,
12061,"$25,000 under $50,000",,,,,
12061,"$50,000 under $75,000",,,,,
12061,"$75,000 under $100,000",,,,,
12061,"$100,000 under $200,000",,,,,
12061,"$200,000 or more",,,,,
,,,,,,
12062,,,,,,
12062,"$1 under $25,000",,,,,
12062,"$25,000 under $50,000",,,,,
12062,"$50,000 under $75,000",,,,,
