"ZIP
code [1]",Size of adjusted gross income,,,,,
10028,"$25,000 under $50,000",,,,,
10028,"$50,000 under $75,000",,,,,
10028,"$75,000 under $100,000",,,,,
10028,"$100,000 under $200,000",,,,,
10028,"$200,000 or more",,,,,
,,,,,,
10029,,,,,,
10029,"$1 under $25,000",,,,,
10029,"$25,000 under $50,000",,,,,
10029,"$50,000 under $75,000",,,,,
10029,"$75,000 under $100,000",,,,,
10029,"$100,000 under $200,000",,,,,
10029,"$200,000 or more",,,,,
,,,,,,
10030,,,,,,
10030,"$1 under $25,000",,,,,
10030,"$25,000 under $50,000",,,,,
10030,"$50,000 under $75,000",,,,,
10030,"$75,000 under $100,000",,,,,
10030,"$100,000 under $200,000",,,,,
10030,"$200,000 or more",,,,,
,,,,,,
10031,,,,,,
10031,"$1 under $25,000",,,,,
10031,"$25,000 under $50,000",,,,,
10031,"$50,000 under $75,000",,,,,
10031,"$75,000 under $100,000",,,,,
10031,"$100,000 under $200,000",,,,,
10031,"$200,000 or more",,,,,
,,,,,,
10032,,,,,,
10032,"$1 under $25,000",,,,,
10032,"$25,000 under $50,000",,,,,
10032,"$50,000 under $75,000",,,,,
10032,"$75,000 under $100,000",,,,,
10032,"$100,000 under $200,000",,,,,
10032,"$200,000 or more",,,,,
,,,,,,
10033,,,,,,
10033,"$1 under $25,000",,,,,
10033,"$25,000 under $50,000",,,,,
10033,"$50,000 under $75,000",,,,,
10033,"$75,000 under $100,000",,,,,
10033,"$100,000 under $200,000",,,,,
10033,"$200,000 or more",,,,,
,,,,,,
10034,,,,,,
10034,"$1 under $25,000",,,,,
10034,"$25,000 under $50,000",,,,,
10034,"$50,000 under $75,000",,,,,
10034,"$75,000 under $100,000",,,,,
10034,"$100,000 under $200,000",,,,,
10034,"$200,000 or more",,,,,
,,,,,,
10035,,,,,,
10035,"$1 under $25,000",,,,,
10035,"$25,000 under $50,000",,,,,
10035,"$50,000 under $75,000",,,,,
10035,"$75,000 under $100,000",,,,,
10035,"$100,000 under $200,000",,,,,
10035,"$200,000 or more",,,,,
,,,,,,
10036,,,,,,
10036,"$1 under $25,000",,,,,
10036,"$25,000 under $50,000",,,,,
10036,"$50,000 under $75,000",,,,,
10036,"$75,000 under $100,000",,,,,
10036,"$100,000 under $200,000",,,,,
10036,"$200,000 or more",,,,,
,,,,,,
10037,,,,,,
10037,"$1 under $25,000",,,,,
10037,"$25,000 under $50,000",,,,,
10037,"$50,000 under $75,000",,,,,
10037,"$75,000 under $100,000",,,,,
10037,"$100,000 under $200,000",,,,,
10037,"$200,000 or more",,,,,
,,,,,,
10038,,,,,,
10038,"$1 under $25,000",,,,,
10038,"$25,000 under $50,000",,,,,
10038,"$50,000 under $75,000",,,,,
10038,"$75,000 under $100,000",,,,,
10038,"$100,000 under $200,000",,,,,
10038,"$200,000 or more",,,,,
,,,,,,
10039,,,,,,
10039,"$1 under $25,000",,,,,
10039,"$25,000 under $50,000",,,,,
10039,"$50,000 under $75,000",,,,,
10039,"$75,000 under $100,000",,,,,
10039,"$100,000 under $200,000",,,,,
10039,"$200,000 or more",,,,,
,,,,,,
10040,,,,,,
10040,"$1 under $25,000",,,,,
10040,"$25,000 under $50,000",,,,,
10040,"$50,000 under $75,000",,,,,
10040,"$75,000 under $100,000",,,,,
10040,"$100,000 under $200,000",,,,,
10040,"$200,000 or more",,,,,
,,,,,,
10044,,,,,,
10044,"$1 under $25,000",,,,,
10044,"$25,000 under $50,000",,,,,
10044,"$50,000 under $75,000",,,,,
10044,"$75,000 under $100,000",,,,,
10044,"$100,000 under $200,000",,,,,
10044,"$200,000 or more",,,,,
,,,,,,
10065,,,,,,
10065,"$1 under $25,000",,,,,
10065,"$25,000 under $50,000",,,,,
10065,"$50,000 under $75,000",,,,,
10065,"$75,000 under $100,000",,,,,
10065,"$100,000 under $200,000",,,,,
10065,"$200,000 or more",,,,,
,,,,,,
10069,,,,,,
10069,"$1 under $25,000",,,,,
10069,"$25,000 under $50,000",,,,,
10069,"$50,000 under $75,000",,,,,
10069,"$75,000 under $100,000",,,,,
10069,"$100,000 under $200,000",,,,,
10069,"$200,000 or more",,,,,
,,,,,,
10075,,,,,,
10075,"$1 under $25,000",,,,,
10075,"$25,000 under $50,000",,,,,
10075,"$50,000 under $75,000",,,,,
10075,"$75,000 under $100,000",,,,,
10075,"$100,000 under $200,000",,,,,
10075,"$200,000 or more",,,,,
,,,,,,
10128,,,,,,
10128,"$1 under $25,000",,,,,
10128,"$25,000 under $50,000",,,,,
10128,"$50,000 under $75,000",,,,,
10128,"$75,000 under $100,000",,,,,
10128,"$100,000 under $200,000",,,,,
10128,"$200,000 or more",,,,,
,,,,,,
10162,,,,,,
10162,"$1 under $25,000",,,,,
10162,"$25,000 under $50,000",,,,,
10162,"$50,000 under $75,000",,,,,
10162,"$75,000 under $100,000",,,,,
10162,"$100,000 under $200,000",,,,,
10162,"$200,000 or more",,,,,
,,,,,,
10280,,,,,,
10280,"$1 under $25,000",,,,,
10280,"$25,000 under $50,000",,,,,
10280,"$50,000 under $75,000",,,,,
10280,"$75,000 under $100,000",,,,,
10280,"$100,000 under $200,000",,,,,
10280,"$200,000 or more",,,,,
,,,,,,
10282,,,,,,
10282,"$1 under $25,000",,,,,
10282,"$25,000 under $50,000",,,,,
10282,"$50,000 under $75,000",,,,,
10282,"$75,000 under $100,000",,,,,
10282,"$100,000 under $200,000",,,,,
10282,"$200,000 or more",,,,,
,,,,,,
10301,,,,,,
10301,"$1 under $25,000",,,,,
10301,"$25,000 under $50,000",,,,,
10301,"$50,000 under $75,000",,,,,
10301,"$75,000 under $100,000",,,,,
10301,"$100,000 under $200,000",,,,,
10301,"$200,000 or more",,,,,
,,,,,,
10302,,,,,,
10302,"$1 under $25,000",,,,,
10302,"$25,000 under $50,000",,,,,
10302,"$50,000 under $75,000",,,,,
10302,"$75,000 under $100,000",,,,,
10302,"$100,000 under $200,000",,,,,
10302,"$200,000 or more",,,,,
,,,,,,
10303,,,,,,
10303,"$1 under $25,000",,,,,
10303,"$25,000 under $50,000",,,,,
10303,"$50,000 under $75,000",,,,,
10303,"$75,000 under $100,000",,,,,
10303,"$100,000 under $200,000",,,,,
10303,"$200,000 or more",,,,,
,,,,,,
10304,,,,,,
10304,"$1 under $25,000",,,,,
10304,"$25,000 under $50,000",,,,,
10304,"$50,000 under $75,000",,,,,
10304,"$75,000 under $100,000",,,,,
10304,"$100,000 under $200,000",,,,,
10304,"$200,000 or more",,,,,
,,,,,,
10305,,,,,,
10305,"$1 under $25,000",,,,,
10305,"$25,000 under $50,000",,,,,
10305,"$50,000 under $75,000",,,,,
10305,"$75,000 under $100,000",,,,,
10305,"$100,000 under $200,000",,,,,
10305,"$200,000 or more",,,,,
,,,,,,
10306,,,,,,
10306,"$1 under $25,000",,,,,
10306,"$25,000 under $50,000",,,,,
10306,"$50,000 under $75,000",,,,,
10306,"$75,000 under $100,000",,,,,
10306,"$100,000 under $200,000",,,,,
10306,"$200,000 or more",,,,,
,,,,,,
10307,,,,,,
10307,"$1 under $25,000",,,,,
10307,"$25,000 under $50,000",,,,,
