Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
2 Offmorris Park Ave 2,"$399,000 ",Bronx,NY,40.824694,-73.809858,"164-166 2nd Ave, Bronx, NY 10465, USA",164-166,2nd Avenue,East Bronx,Bronx,Bronx County,New York,United States,10465,,
2001 McGraw Ave #3,"$185,000 ",Bronx,NY,40.835369,-73.860041,"2001 McGraw Ave, Bronx, NY 10462, USA",2001,McGraw Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2001 McGraw Ave #5E,"$129,000 ",Bronx,NY,40.835369,-73.860041,"2001 McGraw Ave, Bronx, NY 10462, USA",2001,McGraw Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2002 Yates Ave,"$539,000 ",Bronx,NY,40.854753,-73.853405,"2002 Yates Ave, Bronx, NY 10461, USA",2002,Yates Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,1726,
2008 Walton Ave,"$480,000 ",Bronx,NY,40.852322,-73.907153,"2008 Walton Ave, Bronx, NY 10453, USA",2008,Walton Avenue,West Bronx,Bronx,Bronx County,New York,United States,10453,4102,
2010 Arthur Ave,"$1,199,000 ",Bronx,NY,40.847634,-73.892621,"2004-2016 Arthur Ave, Bronx, NY 10457, USA",2004-2016,Arthur Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,,
2011 Gildersleeve Ave,"$294,000 ",Bronx,NY,40.810241,-73.850748,"2011 Gildersleeve Ave, Bronx, NY 10473, USA",2011,Gildersleeve Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,2310,
2015 Saint Paul Ave #2K,"$75,000 ",Bronx,NY,40.852697,-73.829174,"2015 St Paul Ave, Bronx, NY 10461, USA",2015,Saint Paul Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,3905,
2018 Belmont Ave,"$599,000 ",Bronx,NY,40.847503,-73.890399,"2018 Belmont Ave, Bronx, NY 10457, USA",2018,Belmont Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,,
2018 Haviland Ave,"$365,000 ",Bronx,NY,40.829517,-73.856051,"2018 Haviland Ave, Bronx, NY 10472, USA",2018,Haviland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10472,5206,
2019 Pitman Ave,"$459,000 ",Bronx,NY,40.897035,-73.844423,"2019 Pitman Ave, Bronx, NY 10466, USA",2019,Pitman Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,1918,
2022 Newbold Ave,"$549,000 ",Bronx,NY,40.832471,-73.856497,"2020 Newbold Ave, Bronx, NY 10462, USA",2020,Newbold Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,4512,
2023 Belmont Ave #6C,"$79,999 ",Bronx,NY,40.847757,-73.89066,"2023 Belmont Ave, Bronx, NY 10457, USA",2023,Belmont Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,,
2023 Seton Ave,"$589,000 ",Bronx,NY,40.887671,-73.835966,"3701 Seton Ave, Bronx, NY 10466, USA",3701,Seton Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,,
2024 Hughes Ave #5,"$67,995 ",Bronx,NY,40.84773,-73.890827,"2024 Hughes Ave, Bronx, NY 10457, USA",2024,Hughes Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,,
2025 Valentine Ave #3F,"$55,000 ",Bronx,NY,40.851172,-73.900713,"2025 Valentine Ave, Bronx, NY 10457, USA",2025,Valentine Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,,
2031 Tomlinson Ave,"$1,400,000 ",Bronx,NY,40.854509,-73.856217,"2029 Tomlinson Ave, Bronx, NY 10461, USA",2029,Tomlinson Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,1325,
2033 Lurting Ave,"$669,000 ",Bronx,NY,40.853875,-73.857774,"2033 Lurting Ave, Bronx, NY 10461, USA",2033,Lurting Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,1313,
2035 Radcliff Ave,"$509,000 ",Bronx,NY,40.852621,-73.860384,"2037 Radcliff Ave, Bronx, NY 10462, USA",2037,Radcliff Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,2765,
2036 Arnow Ave,"$425,000 ",Bronx,NY,40.869861,-73.834928,"1922 Arnow Ave, Bronx, NY 10469, USA",1922,Arnow Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,3334,
2042 Washington Ave,"$420,000 ",Bronx,NY,40.850174,-73.895975,"2042 Washington Ave, Bronx, NY 10457, USA",2042,Washington Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3242,
2044 Saint Paul Ave,"$360,000 ",Bronx,NY,40.853565,-73.829266,"2044 St Paul Ave, Bronx, NY 10461, USA",2044,Saint Paul Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,3906,
2047 Anthony Ave,"$479,000 ",Bronx,NY,40.852214,-73.902587,"2047 Anthony Ave, Bronx, NY 10457, USA",2047,Anthony Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2803,
2047 Anthony Ave 10457 Fordham Hts,"$499,000 ",Bronx,NY,40.852214,-73.902587,"2047 Anthony Ave, Bronx, NY 10457, USA",2047,Anthony Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2803,
2052 Arthur Ave,"$369,000 ",Bronx,NY,40.848256,-73.891977,"2052 Arthur Ave, Bronx, NY 10457, USA",2052,Arthur Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3466,
2055 Saint Raymonds Ave #ME,"$240,000 ",Bronx,NY,40.837619,-73.856641,"2055 St Raymonds Ave, Bronx, NY 10462, USA",2055,Saint Raymonds Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2056 Pitman Ave,"$450,000 ",Bronx,NY,40.896911,-73.842926,"2056 Pitman Ave, Bronx, NY 10466, USA",2056,Pitman Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,1927,
2057 Strang Ave #F2,"$649,000 ",Bronx,NY,40.890631,-73.840537,"2055 Strang Ave, Bronx, NY 10466, USA",2055,Strang Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,2340,
2058 Ryer Ave,"$565,000 ",Bronx,NY,40.852031,-73.900832,"2058 Ryer Ave, Bronx, NY 10457, USA",2058,Ryer Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3704,
2059 Saint Raymonds Ave #3C,"$125,000 ",Bronx,NY,40.837708,-73.856392,"2059 St Raymonds Ave, Bronx, NY 10462, USA",2059,Saint Raymonds Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2059 Saint Raymonds Ave #4C,"$125,000 ",Bronx,NY,40.837708,-73.856392,"2059 St Raymonds Ave, Bronx, NY 10462, USA",2059,Saint Raymonds Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
206 Fleet Ct,"$389,000 ",Bronx,NY,40.805787,-73.853951,"206 Fleet Ct, Bronx, NY 10473, USA",206,Fleet Court,East Bronx,Bronx,Bronx County,New York,United States,10473,2458,
2065 Saint Raymonds Ave #TF,"$125,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
2074 Ryer Ave,"$399,000 ",Bronx,NY,40.852568,-73.900686,"2074 Ryer Ave, Bronx, NY 10457, USA",2074,Ryer Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3727,
2079 Cedar Ave,"$409,000 ",Bronx,NY,40.859999,-73.914592,"2079 Cedar Ave, Bronx, NY 10468, USA",2079,Cedar Avenue,West Bronx,Bronx,Bronx County,New York,United States,10468,5501,
2079 Wallace Ave #574,"$279,000 ",Bronx,NY,40.85289,-73.864988,"2079 Wallace Ave, Bronx, NY 10462, USA",2079,Wallace Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
208 Betts Ave,"$470,000 ",Bronx,NY,40.810311,-73.849916,"208 Betts Ave, Bronx, NY 10473, USA",208,Betts Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,2307,
208 E Mosholu Pkwy S,"$650,000 ",Bronx,NY,40.87363,-73.883538,"208 E Mosholu Pkwy S, Bronx, NY 10458, USA",208,East Mosholu Parkway South,West Bronx,Bronx,Bronx County,New York,United States,10458,,
208 Lakeview Pl,"$845,000 ",Bronx,NY,40.898321,-73.897676,"208 Lakeview Pl, Bronx, NY 10471, USA",208,Lakeview Place,West Bronx,Bronx,Bronx County,New York,United States,10471,3014,
208 Mount Hope Pl,"$499,900 ",Bronx,NY,40.848133,-73.905717,"208 Mt Hope Pl, Bronx, NY 10457, USA",208,Mount Hope Place,West Bronx,Bronx,Bronx County,New York,United States,10457,5404,
2081 Cruger Ave #1L,"$259,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2081 Cruger Ave #4B,"$80,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2081 Cruger Ave #5L,"$255,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2081 Cruger Ave #5L UNIT 5L,"$255,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2081 Cruger Ave #L4,"$259,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2081 Cruger Avenue 5l #5L,"$255,000 ",Bronx,NY,40.852722,-73.867075,"2081 Cruger Ave, Bronx, NY 10462, USA",2081,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
21 Deepwater Way #39,"$455,000 ",Bronx,NY,40.845755,-73.783145,"21 Deepwater Way, Bronx, NY 10464, USA",21,Deepwater Way,City Island,Bronx,Bronx County,New York,United States,10464,1450,
2100 E Tremont Ave #7E,"$153,000 ",Bronx,NY,40.840649,-73.85823,"1551 Metropolitan Ave, Bronx, NY 10462, USA",1551,Metropolitan Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2104 Holland Ave #1B,"$175,000 ",Bronx,NY,40.853417,-73.865771,"2070-2138 Holland Ave, Bronx, NY 10462, USA",2070-2138,Holland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2104 Holland Ave #1D,"$85,000 ",Bronx,NY,40.853417,-73.865771,"2070-2138 Holland Ave, Bronx, NY 10462, USA",2070-2138,Holland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2104 Holland Ave #5B,"$195,000 ",Bronx,NY,40.853417,-73.865771,"2070-2138 Holland Ave, Bronx, NY 10462, USA",2070-2138,Holland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2105 Wallace Ave #5A,"$119,000 ",Bronx,NY,40.853376,-73.865155,"2105 Wallace Ave, Bronx, NY 10462, USA",2105,Wallace Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2106 Arthur Ave,"$525,900 ",Bronx,NY,40.849575,-73.891157,"609 E 180th St, Bronx, NY 10457, USA",609,East 180th Street,West Bronx,Bronx,Bronx County,New York,United States,10457,3401,
2107 Wallace Ave #6D,"$89,000 ",Bronx,NY,40.85351,-73.865004,"2107 Wallace Ave, Bronx, NY 10462, USA",2107,Wallace Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2108 Bathgate Ave,"$639,999 ",Bronx,NY,40.851264,-73.89444,"2108 Bathgate Ave, Bronx, NY 10457, USA",2108,Bathgate Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3267,
2111 Tiebout Ave,"$599,000 ",Bronx,NY,40.853311,-73.89886,"2111 Tiebout Ave, Bronx, NY 10457, USA",2111,Tiebout Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3149,
2111-2113 Story Ave,"$649,000 ",Bronx,NY,40.825232,-73.852093,"2113 Story Ave, Bronx, NY 10473, USA",2113,Story Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1315,
2114 Virgil Pl,"$625,000 ",Bronx,NY,40.821968,-73.850978,"2114 Virgil Pl, Bronx, NY 10473, USA",2114,Virgil Place,East Bronx,Bronx,Bronx County,New York,United States,10473,1311,
2116 Lacombe Ave,"$425,000 ",Bronx,NY,40.816352,-73.849776,"2116 Lacombe Ave, Bronx, NY 10473, USA",2116,Lacombe Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1602,
2120 E Tremont Ave #3A,"$144,900 ",Bronx,NY,40.84128,-73.856918,"2120 E Tremont Ave, Bronx, NY 10462, USA",2120,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2120 Mapes Ave #2F,"$75,000 ",Bronx,NY,40.847029,-73.884828,"2120 Mapes Ave, Bronx, NY 10460, USA",2120,Mapes Avenue,West Bronx,Bronx,Bronx County,New York,United States,10460,,
2120 Mapes Ave #3A,"$100,000 ",Bronx,NY,40.847029,-73.884828,"2120 Mapes Ave, Bronx, NY 10460, USA",2120,Mapes Avenue,West Bronx,Bronx,Bronx County,New York,United States,10460,,
2122 Washington Ave,"$320,000 ",Bronx,NY,40.851948,-73.895004,"2122 Washington Ave, Bronx, NY 10457, USA",2122,Washington Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,3240,
2125 E Tremont Ave,"$1,200,000 ",Bronx,NY,40.841687,-73.860681,"2135 E Tremont Ave, Bronx, NY 10462, USA",2135,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2125 Quimby Ave,"$350,000 ",Bronx,NY,40.826116,-73.851681,"2125 Quimby Ave, Bronx, NY 10473, USA",2125,Quimby Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1332,
2126 Aqueduct Ave E,"$510,000 ",Bronx,NY,40.856537,-73.909035,"2126 Aqueduct Ave E, Bronx, NY 10453, USA",2126,Aqueduct Avenue East,West Bronx,Bronx,Bronx County,New York,United States,10453,3108,
213 E 202nd St,"$540,000 ",Bronx,NY,40.873386,-73.886184,"213 E 202nd St, Bronx, NY 10458, USA",213,East 202nd Street,West Bronx,Bronx,Bronx County,New York,United States,10458,1502,
213 Surf Dr #131,"$395,000 ",Bronx,NY,40.804816,-73.85283,"209 Surf Dr, Bronx, NY 10473, USA",209,Surf Drive,Shorehaven,Bronx,Bronx County,New York,United States,10473,2538,
2133 Bogart Ave,"$435,000 ",Bronx,NY,40.854909,-73.861327,"2133 Bogart Ave, Bronx, NY 10462, USA",2133,Bogart Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,2157,
2136 Arnow Ave,"$299,000 ",Bronx,NY,40.869861,-73.834928,"1922 Arnow Ave, Bronx, NY 10469, USA",1922,Arnow Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,3334,
2137 Belmont Ave,"$389,000 ",Bronx,NY,40.849807,-73.889297,"2137 Belmont Ave, Bronx, NY 10457, USA",2137,Belmont Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2631,
214 Husson Ave,"$359,000 ",Bronx,NY,40.810482,-73.850967,"214 Husson Ave, Bronx, NY 10473, USA",214,Husson Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,,
2145 Prospect Ave,"$499,000 ",Bronx,NY,40.848598,-73.885857,"2145 Prospect Ave, Bronx, NY 10457, USA",2145,Prospect Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2724,
2147 Blackrock Ave,"$515,000 ",Bronx,NY,40.82907,-73.851708,"2147 Blackrock Ave, Bronx, NY 10472, USA",2147,Blackrock Avenue,East Bronx,Bronx,Bronx County,New York,United States,10472,6201,
2148 Crotona Ave,"$489,000 ",Bronx,NY,40.849448,-73.887127,"2148 Crotona Ave, Bronx, NY 10457, USA",2148,Crotona Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2704,
215 Admiral Ln,"$269,875 ",Bronx,NY,40.804734,-73.855025,"215 Admiral Ln, Bronx, NY 10473, USA",215,Admiral Lane,Shorehaven,Bronx,Bronx County,New York,United States,10473,2443,
215 W 260th St,"$769,000 ",Bronx,NY,40.907696,-73.897154,"215 W 260th St, Bronx, NY 10471, USA",215,West 260th Street,West Bronx,Bronx,Bronx County,New York,United States,10471,1825,
2156 Cruger Ave #4L,"$65,000 ",Bronx,NY,40.855323,-73.866454,"2156 Cruger Ave, Bronx, NY 10462, USA",2156,Cruger Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
216 Husson Ave,"$359,000 ",Bronx,NY,40.810548,-73.850983,"216 Husson Ave, Bronx, NY 10473, USA",216,Husson Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,2315,
2164 Crotona Ave,"$559,000 ",Bronx,NY,40.849843,-73.886672,"2164 Crotona Ave, Bronx, NY 10457, USA",2164,Crotona Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,2728,
2165 Matthews Ave #1F,"$100,000 ",Bronx,NY,40.855635,-73.863207,"2165 Matthews Ave, Bronx, NY 10462, USA",2165,Matthews Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2167 Arthur Ave,"$420,000 ",Bronx,NY,40.85147,-73.890663,"2167 Arthur Ave, Bronx, NY 10457, USA",2167,Arthur Avenue,West Bronx,Bronx,Bronx County,New York,United States,10457,1609,
2171 Quimby Ave,"$399,000 ",Bronx,NY,40.826309,-73.850251,"2171 Quimby Ave, Bronx, NY 10473, USA",2171,Quimby Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1332,
218 E 179th St,"$725,000 ",Bronx,NY,40.850736,-73.903835,"218 E 179th St, Bronx, NY 10457, USA",218,East 179th Street,Mount Hope,Bronx,Bronx County,New York,United States,10457,3902,
218 Fleet Ct #16B,"$299,000 ",Bronx,NY,40.806194,-73.854182,"218 Fleet Ct, Bronx, NY 10473, USA",218,Fleet Court,East Bronx,Bronx,Bronx County,New York,United States,10473,2400,
2187 Holland Ave #1B,"$142,500 ",Bronx,NY,40.855794,-73.866015,"2187 Holland Ave, Bronx, NY 10462, USA",2187,Holland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2187 Holland Ave #2M,"$80,000 ",Bronx,NY,40.855794,-73.866015,"2187 Holland Ave, Bronx, NY 10462, USA",2187,Holland Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
218K Howe Ave,"$350,000 ",Bronx,NY,40.812464,-73.847315,"218 Howe Ave, Bronx, NY 10473, USA",218,Howe Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1666,
219 Cincinnatus Ave #30,"$629,000 ",Bronx,NY,40.820536,-73.84709,"2233 Cincinnatus Ave, Bronx, NY 10473, USA",2233,Cincinnatus Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1403,
2190 Boston Rd #2J,"$89,900 ",Bronx,NY,40.85611,-73.869369,"2190 Boston Rd, Bronx, NY 10462, USA",2190,Boston Road,Bronx,Bronx County,New York,United States,10462,,,
2199 Holland Ave #1L,"$65,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #2N,"$125,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #3H,"$151,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #3K,"$119,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #4C,"$104,500 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #5P,"$109,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2199 Holland Ave #LE,"$189,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
2199 Holland Avneue 3h #3H,"$151,000 ",Bronx,NY,40.856303,-73.865997,"744 Pelham Pkwy S, Bronx, NY 10462, USA",744,Pelham Parkway South,East Bronx,Bronx,Bronx County,New York,United States,10462,,
220 E 179th St,"$725,000 ",Bronx,NY,40.850752,-73.903718,"220 E 179th St, Bronx, NY 10457, USA",220,East 179th Street,Mount Hope,Bronx,Bronx County,New York,United States,10457,3902,
220 Neptune Ct #6220G,"$225,000 ",Bronx,NY,40.806848,-73.852917,"220 Neptune Ct, Bronx, NY 10473, USA",220,Neptune Court,East Bronx,Bronx,Bronx County,New York,United States,10473,2477,
2202 Palmer Ave,"$389,000 ",Bronx,NY,40.86035,-73.825371,"2202 Palmer Ave, Bronx, NY 10475, USA",2202,Palmer Avenue,East Bronx,Bronx,Bronx County,New York,United States,10475,5509,
2207 Light St #1FAM,"$469,000 ",Bronx,NY,40.88786,-73.832018,"2211 Light St, Bronx, NY 10466, USA",2211,Light Street,East Bronx,Bronx,Bronx County,New York,United States,10466,6114,
2207 Light St #1FAMILY,"$469,000 ",Bronx,NY,40.88786,-73.832018,"2211 Light St, Bronx, NY 10466, USA",2211,Light Street,East Bronx,Bronx,Bronx County,New York,United States,10466,6114,
2207 Light St #1FAMS,"$449,000 ",Bronx,NY,40.88786,-73.832018,"2211 Light St, Bronx, NY 10466, USA",2211,Light Street,East Bronx,Bronx,Bronx County,New York,United States,10466,6114,
2207 Light St #1UNIT,"$449,000 ",Bronx,NY,40.88786,-73.832018,"2211 Light St, Bronx, NY 10466, USA",2211,Light Street,East Bronx,Bronx,Bronx County,New York,United States,10466,6114,
221 Newman Ave,"$325,000 ",Bronx,NY,40.810057,-73.854682,"221 Newman Ave, Bronx, NY 10473, USA",221,Newman Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,2406,
221 Reynolds Ave,"$539,999 ",Bronx,NY,40.819982,-73.808808,"221 Reynolds Ave, Bronx, NY 10465, USA",221,Reynolds Avenue,Throgs Neck,Bronx,Bronx County,New York,United States,10465,3617,
2217 Chatterton Ave,"$399,000 ",Bronx,NY,40.828569,-73.849517,"2217 Chatterton Ave, Bronx, NY 10472, USA",2217,Chatterton Avenue,East Bronx,Bronx,Bronx County,New York,United States,10472,6307,
2219 Cincinnatus Ave,"$629,000 ",Bronx,NY,40.820695,-73.847475,"2219 Cincinnatus Ave, Bronx, NY 10473, USA",2219,Cincinnatus Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1403,
2219 Light St,"$469,000 ",Bronx,NY,40.887829,-73.831349,"2211-2219 Light St, Bronx, NY 10466, USA",2211-2219,Light Street,East Bronx,Bronx,Bronx County,New York,United States,10466,6114,
222 Longstreet Ave,"$1,250,000 ",Bronx,NY,40.819579,-73.806105,"222 Longstreet Ave, Bronx, NY 10465, USA",222,Longstreet Avenue,East Bronx,Bronx,Bronx County,New York,United States,10465,,
2220 E Tremont Ave #4E,"$116,000 ",Bronx,NY,40.84182,-73.855702,"2254 E Tremont Ave, Bronx, NY 10462, USA",2254,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2220 E Tremont Ave #4P,"$116,000 ",Bronx,NY,40.84182,-73.855702,"2254 E Tremont Ave, Bronx, NY 10462, USA",2254,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
223 Whalen St,"$775,000 ",Bronx,NY,40.908426,-73.897524,"223 Whalen St, Bronx, NY 10471, USA",223,Whalen Street,West Bronx,Bronx,Bronx County,New York,United States,10471,1814,
2231 Boller Ave,"$799,000 ",Bronx,NY,40.860925,-73.825269,"2231 Boller Ave, Bronx, NY 10475, USA",2231,Boller Avenue,East Bronx,Bronx,Bronx County,New York,United States,10475,,
2239 Homer Ave,"$450,000 ",Bronx,NY,40.822251,-73.846985,"2239 Homer Ave, Bronx, NY 10473, USA",2239,Homer Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1306,
2240 E Tremont Ave #3E,"$125,000 ",Bronx,NY,40.841259,-73.855612,"2240 E Tremont Ave, Bronx, NY 10462, USA",2240,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2240 E Tremont Ave #5,"$200,000 ",Bronx,NY,40.841259,-73.855612,"2240 E Tremont Ave, Bronx, NY 10462, USA",2240,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2240 E Tremont Ave #5D,"$200,000 ",Bronx,NY,40.841259,-73.855612,"2240 E Tremont Ave, Bronx, NY 10462, USA",2240,East Tremont Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
2244 Bronx Park E #4A,"$179,900 ",Bronx,NY,40.858494,-73.870882,"2244 Bronx Park E, Bronx, NY 10467, USA",2244,Bronx Park East,Bronx,Bronx County,New York,United States,10467,,,
2244 Bronx Park E #4C,"$80,100 ",Bronx,NY,40.858494,-73.870882,"2244 Bronx Park E, Bronx, NY 10467, USA",2244,Bronx Park East,Bronx,Bronx County,New York,United States,10467,,,
2244 Bronx Park E #4H,"$169,000 ",Bronx,NY,40.858494,-73.870882,"2244 Bronx Park E, Bronx, NY 10467, USA",2244,Bronx Park East,Bronx,Bronx County,New York,United States,10467,,,
2245 Creston Ave,"$525,000 ",Bronx,NY,40.856937,-73.901782,"2241 Creston Ave, Bronx, NY 10453, USA",2241,Creston Avenue,West Bronx,Bronx,Bronx County,New York,United States,10453,,
2245 Lafayette Ave,"$339,000 ",Bronx,NY,40.823734,-73.847229,"2245 Lafayette Ave, Bronx, NY 10473, USA",2245,Lafayette Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1308,
2251 Watson Ave,"$729,000 ",Bronx,NY,40.830224,-73.848607,"2251 Watson Ave, Bronx, NY 10462, USA",2251,Watson Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,5204,
2256 Aqueduct Ave E,"$550,000 ",Bronx,NY,40.858862,-73.906924,"2256 Aqueduct Ave E, Bronx, NY 10453, USA",2256,Aqueduct Avenue East,West Bronx,Bronx,Bronx County,New York,United States,10453,1406,
2258 Gleason Ave,"$480,000 ",Bronx,NY,40.831992,-73.848685,"2258 Gleason Ave, Bronx, NY 10462, USA",2258,Gleason Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,5102,
2258 Powell Ave,"$469,000 ",Bronx,NY,40.831245,-73.848669,"2258 Powell Ave, Bronx, NY 10462, USA",2258,Powell Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,5104,
226 Fordham Place 17 Island Pt,"$788,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
226 Fordham Place 23 Island Pt,"$968,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
