Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
 Castle Hl,"$629,000 ",Bronx,NY,40.817683,-73.850728,"514-522 Olmstead Ave, Bronx, NY 10473, USA",514-522,Olmstead Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,,
 Cincinnatus Ave,"$629,000 ",Bronx,NY,40.820536,-73.84709,"2233 Cincinnatus Ave, Bronx, NY 10473, USA",2233,Cincinnatus Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1403,
 Cincinnatus Ave Yuj,"$629,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 City Island Single,"$375,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Clason Pt,"$570,000 ",Bronx,NY,40.814434,-73.862489,"455 Beach Ave, Bronx, NY 10473, USA",455,Beach Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,3609,
 Crosby Ave,"$549,000 ",Bronx,NY,40.840609,-73.829671,"1401 Crosby Ave, Bronx, NY 10461, USA",1401,Crosby Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,6007,
 Crosby Ave Bgg,"$549,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Crosby Ave Gtt,"$549,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Detached 2 Fam 3 Bdrm 2 Bthrm Duplx 2 Bdrm Basemet,"$549,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 E 211 St,"$499,000 ",Bronx,NY,40.877896,-73.865954,"3530 White Plains Rd, Bronx, NY 10467, USA",3530,White Plains Road,East Bronx,Bronx,Bronx County,New York,United States,10467,5712,
 E 221st St,"$619,000 ",Bronx,NY,40.883158,-73.856284,"3843 Bronxwood Ave, Bronx, NY 10469, USA",3843,Bronxwood Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,1035,
 E 222 St,"$479,000 ",Bronx,NY,40.881649,-73.849261,"1132 E 222nd St, Bronx, NY 10469, USA",1132,East 222nd Street,East Bronx,Bronx,Bronx County,New York,United States,10469,2616,
 E 224 St,"$649,000 ",Bronx,NY,40.884396,-73.852372,"967 E 224th St, Bronx, NY 10466, USA",967,East 224th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,4645,
 E 226 St,"$639,000 ",Bronx,NY,40.887595,-73.857193,"768-798 E 226th St, Bronx, NY 10466, USA",768-798,East 226th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,,
 E 226 St #QW,"$639,000 ",Bronx,NY,40.904284,-73.84273,"226 S 12th Ave, Mt Vernon, NY 10550, USA",226,South 12th Avenue,South Side,Mount Vernon,Westchester County,New York,United States,10550,3713,
 E 228 St,"$629,000 ",Bronx,NY,40.889008,-73.856412,"4048 Barnes Ave, Bronx, NY 10466, USA",4048,Barnes Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,4310,
 E 233 St,"$579,000 ",Bronx,NY,40.892113,-73.853352,"827-831 E 233rd St, Bronx, NY 10466, USA",827-831,East 233rd Street,East Bronx,Bronx,Bronx County,New York,United States,10466,,
 E 233 St #TY,"$579,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 E Tremont Ave,"$1,099,000 ",Bronx,NY,40.841052,-73.864427,"1598 White Plains Rd, Bronx, NY 10462, USA",1598,White Plains Road,East Bronx,Bronx,Bronx County,New York,United States,10462,,
 E Tremont Ave Bgh,"$1,099,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Edwards Ave Bghh,"$429,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
