"","zpid","bathrooms","bedrooms","sqft","st","city","state","lat","long","valuation","lowval","highval","nb","nbid"
"747","2108613162",NA,NA,NA,"99 Joralemon St APT 3E","Brooklyn","NY","40.6935","-73.995628","2023772","1882108","2266625","Brooklyn Heights","403122"
"748","2109370001",NA,NA,NA,"99 Joralemon St APT 3A","Brooklyn","NY","40.6935","-73.995628","2023772","1882108","2266625","Brooklyn Heights","403122"
"749","2110148685",NA,NA,NA,"99 Joralemon St APT 6B","Brooklyn","NY","40.6935","-73.995628","2023772","1882108","2266625","Brooklyn Heights","403122"
"750","2110725147","1.0","2",NA,"99 Joralemon St APT 2D","Brooklyn","NY","40.693281","-73.995819","1634037","1454293","1830121","Brooklyn Heights","403122"
"751","2110725153",NA,NA,NA,"99 Joralemon St APT 5D","Brooklyn","NY","40.693281","-73.995819","2002713","1902577","2162930","Brooklyn Heights","403122"
"752","2110725157","1.0","1",NA,"99 Joralemon St APT 3B","Brooklyn","NY","40.693502","-73.995656","1636862","1424070","1866023","Brooklyn Heights","403122"
"753","30567700","1.0","1","76730","60 Remsen St","Brooklyn","NY","40.694235","-73.99607","14615709","9207896","21777406","Brooklyn Heights","403122"
"754","30567701","1.0","0","66500","68 Remsen St","Brooklyn","NY","40.694175","-73.995855","14803105","11990515","19244036","Brooklyn Heights","403122"
"755","30567702","1.0","0","29472","76 Remsen St","Brooklyn","NY","40.69412","-73.995665","5954207","5656497","7621385","Brooklyn Heights","403122"
"756","72656064",NA,NA,NA,"90 Remsen St APT 1B","Brooklyn","NY","40.69403","-73.995178","1670023","1569822","1753524","Brooklyn Heights","403122"
"757","72656516",NA,NA,NA,"90 Remsen St APT 3A","Brooklyn","NY","40.694034","-73.995185","602502","572377","632627","Brooklyn Heights","403122"
"758","72656517",NA,NA,NA,"90 Remsen St APT 3B","Brooklyn","NY","40.69403","-73.995178","1070941","1006685","1124488","Brooklyn Heights","403122"
"759","72669714","2.5","3",NA,"90 Remsen St APT 4","Brooklyn","NY","40.694034","-73.995185","3296008","3131208","3460808","Brooklyn Heights","403122"
"760","72669715",NA,NA,NA,"90 Remsen St APT 2B","Brooklyn","NY","40.69403","-73.995178","1386355","1303174","1455673","Brooklyn Heights","403122"
"761","62646257",NA,NA,"2280","85 Joralemon St","Brooklyn","NY","40.69358","-73.99619","2902469","2583197","3541012","Brooklyn Heights","403122"
"762","30567714","1.0","1","630","114 Clinton St","Brooklyn","NY","40.69315","-73.99319","690692","490391","925527","Brooklyn Heights","403122"
"763","2103221894","1.0","1",NA,"141 Joralemon St","Brooklyn","NY","40.693176","-73.993724","","","","Brooklyn Heights","403122"
"764","2097200933","1.0","2",NA,"131 Joralemon St APT 61","Brooklyn","NY","40.693276","-73.99425","971827","923236","1020418","Brooklyn Heights","403122"
"765","2099434971","1.0","1","700","131 Joralemon St APT 6","Brooklyn","NY","40.693276","-73.99425","940193","893183","987203","Brooklyn Heights","403122"
"766","2101789854","1.0","1","750","131 Joralemon St APT 2","Brooklyn","NY","40.693276","-73.99425","","","","Brooklyn Heights","403122"
"767","2102306511","1.0","1","650","131 Joralemon St APT 24","Brooklyn","NY","40.69328","-73.99423","924902","878657","971147","Brooklyn Heights","403122"
"768","2103459576","1.0","1",NA,"131 Joralemon St APT 45","Brooklyn","NY","40.693279","-73.994232","944396","897176","991616","Brooklyn Heights","403122"
"769","2105172008","1.0","1",NA,"131 Joralemon St APT 25","Brooklyn","NY","40.693279","-73.994232","944396","897176","991616","Brooklyn Heights","403122"
"770","2110053074","1.0","1","750","131 Joralemon St APT 34","Brooklyn","NY","40.693275","-73.994224","917943","872046","963840","Brooklyn Heights","403122"
"771","2110056187","1.0","1","700","131 Joralemon St APT 36","Brooklyn","NY","40.693276","-73.99425","","","","Brooklyn Heights","403122"
"772","2111759692","1.0","2",NA,"131 Joralemon St APT 31","Brooklyn","NY","40.693276","-73.99425","1323013","1045180","1428854","Brooklyn Heights","403122"
"773","2112805053",NA,NA,NA,"24 Joralemon St APT 131","Brooklyn","NY","40.693757","-73.998832","","","","Brooklyn Heights","403122"
"774","2113097069","1.0","1",NA,"24 Joralemon St APT E131","Brooklyn","NY","40.69372","-73.99883","884937","699100","999979","Brooklyn Heights","403122"
"775","2113616734","1.0","2",NA,"131 Joralemon St APT 22","Brooklyn","NY","40.69328","-73.99423","964878","916634","1013122","Brooklyn Heights","403122"
"776","2116495514","1.0","2",NA,"131 Joralemon St APT 32","Brooklyn","NY","40.69328","-73.99423","1443461","1140334","1587807","Brooklyn Heights","403122"
"777","2117420833","1.0","1",NA,"131 Joralemon St APT 46","Brooklyn","NY","40.69328","-73.99423","1397623","1229908","1872815","Brooklyn Heights","403122"
"778","2118144586",NA,NA,NA,"131 Joralemon St APT 42","Brooklyn","NY","40.693275","-73.994224","","","","Brooklyn Heights","403122"
"779","2119391193",NA,NA,NA,"131 Joralemon St APT 35","Brooklyn","NY","40.693275","-73.994224","","","","Brooklyn Heights","403122"
"780","2124784909",NA,"1",NA,"131 Joralemon St APT 5","Brooklyn","NY","40.693275","-73.994224","1841932","1418288","1934029","Brooklyn Heights","403122"
"781","2126000822",NA,NA,NA,"131 Joralemon St APT 54","Brooklyn","NY","40.693275","-73.994224","1848833","1756391","1941275","Brooklyn Heights","403122"
"782","2127814208","1.0","1",NA,"131 Joralemon St APT 33","Brooklyn","NY","40.69328","-73.99423","1294193","1190658","1708335","Brooklyn Heights","403122"
"783","30567721","1.0","1","58803","245 Henry St","Brooklyn","NY","40.6934","-73.994735","781697","680076","852050","Brooklyn Heights","403122"
"784","30567727","1.0","1","300","100 Remsen St","Brooklyn","NY","40.693795","-73.99448","547318","421435","673201","Brooklyn Heights","403122"
"785","2097406294","2.0","3",NA,"110 Remsen St # 2","Brooklyn","NY","40.693748","-73.994292","1548572","1424686","1703429","Brooklyn Heights","403122"
"786","2098813150","1.0","0",NA,"110 Remsen St APT 4A","Brooklyn","NY","40.693748","-73.994292","926249","879937","972561","Brooklyn Heights","403122"
"787","2099280049","1.0","1",NA,"110 Remsen St APT 4B","Brooklyn","NY","40.69374","-73.99427","930449","883927","976971","Brooklyn Heights","403122"
