"","CD","CT2010","CB2010","SchoolDist","ZipCode","Address","BldgClass","UnitsRes","YearBuilt","NumFloors"
"46166",303,227,1000,13,11216,"1192 BEDFORD AVENUE","RM",6,2013,5
"46167",303,227,1000,13,11216,"186 PUTNAM AVENUE","RM",14,2014,5
"46180",303,227,4005,13,11238,"28 JEFFERSON AVENUE","D1",66,1911,6
"46181",303,227,4005,13,11238,"482 FRANKLIN AVENUE","D3",93,2012,8
"46267",303,227,1002,13,11216,"1240 BEDFORD AVENUE","R4",43,2003,6
"46271",302,35,2002,15,11217,"173 SOUTH ELLIOTT PLACE","D4",212,1974,15
"46335",302,179,2003,13,11217,"212 SOUTH OXFORD STREET","RM",80,2009,10
"46350",302,179,2001,13,11217,"147 SOUTH OXFORD STREET","D4",20,1930,5
"46482",302,179,1002,13,11238,"761 ATLANTIC AVENUE","D4",300,1974,31
"46483",302,179,1001,13,11238,"475 CARLTON AVENUE","D4",304,1974,15
"46514",302,199,3002,13,11238,"499 VANDERBILT AVENUE","D7",14,2009,7
"46535",302,199,3002,13,11238,"525 VANDERBILT AVENUE","R1",10,2006,5
"46536",302,199,3002,13,11238,"531 VANDERBILT AVENUE","R4",18,2014,7
"46538",302,199,3001,13,11238,"537 CLINTON AVENUE","D1",64,1930,6
"46547",302,199,3001,13,11238,"882 FULTON STREET","D7",48,0,0
"46550",302,199,3001,13,11238,"525 CLINTON AVENUE","RM",33,2006,13
"46577",302,199,3000,13,11238,"596 WASHINGTON AVENUE","D7",16,0,0
"46584",302,199,3000,13,11238,"888 FULTON STREET","R1",8,2008,4
"46623",302,201,2001,13,11238,"555 WASHINGTON AVENUE","R2",53,1915,3.5
"46624",302,201,2001,13,11238,"310 ST JAMES PLACE","R2",11,2005,4
"46625",302,201,2001,13,11238,"545 WASHINGTON AVENUE","R4",63,2009,7
"46642",302,201,2000,13,11238,"976 FULTON STREET","D6",23,2014,7
"46665",302,201,2000,13,11238,"936 FULTON STREET","RM",11,1930,4
"46666",302,201,2000,13,11238,"940 FULTON STREET","RM",12,1930,4
"46760",303,227,2001,13,11238,"1078 FULTON STREET","RM",45,2011,9
"46761",303,227,2001,13,11238,"135 LEFFERTS PLACE","R1",8,2012,4
"46848",302,201,2002,13,11238,"500 GRAND AVENUE","R1",10,2002,5
"46849",302,201,2002,13,11238,"46 LEFFERTS PLACE","R1",8,2007,4
"46863",302,227,3001,13,11238,"128 LEFFERTS PLACE","D1",89,1974,6
"46865",302,227,3001,13,11238,"1007 ATLANTIC AVENUE","D7",50,0,0
"46875",302,227,3001,13,11238,"76 LEFFERTS PLACE","R2",31,0,4
"46929",303,227,2002,13,11238,"190 LEFFERTS PLACE","R1",5,1899,5
"46930",303,227,2002,13,11238,"176 LEFFERTS PLACE","R1",5,1931,4
"46959",302,211,1000,13,11205,"37 NORTH ELLIOTT PLACE","D4",158,1942,13
"46992",302,211,1000,13,11205,"33 NORTH ELLIOTT PLACE","R1",5,1951,4
"47030",302,211,2005,13,11205,"37 NORTH OXFORD STREET","R1",3,2004,4
"47133",302,211,2001,13,11205,"42 VANDERBILT AVENUE","D7",98,2009,8
"47134",302,211,2001,13,11205,"45 CLERMONT AVENUE","D7",101,2009,8
"47159",302,211,2001,13,11205,"7 CLERMONT AVENUE","RM",112,2012,12
"47160",302,211,2001,13,11205,"8 VANDERBILT AVENUE","RM",98,2014,13
"47161",302,29.01,1005,13,11205,"118 ST EDWARDS STREET","D3",600,1939,6
"47169",302,29.01,2004,13,11205,"277 MYRTLE AVENUE","D6",200,1942,6
"47170",302,185.01,2004,13,11205,"121 NORTH PORTLAND AVE","D6",850,1939,13
"47184",302,185.01,1002,13,11205,"89 CARLTON AVENUE","D7",22,2006,7
"47230",302,185.01,1002,13,11205,"80 ADELPHI STREET","RM",14,2007,5
"47231",302,185.01,1002,13,11205,"122 ADELPHI STREET","R4",19,2007,11
"47254",302,187,1008,13,11205,"62 CLERMONT AVENUE","D7",25,2005,6
"47266",302,187,1008,13,11205,"90 CLERMONT AVENUE","D1",7,2005,6
"47271",302,187,1008,13,11205,"150 CLERMONT AVENUE","RM",52,2010,6
"47303",302,187,1007,13,11205,"65 CLERMONT AVENUE","D1",24,2001,6
"47333",302,187,1007,13,11205,"118 VANDERBILT AVENUE","D1",18,2006,7
"47349",302,15,3000,13,11201,"343 GOLD STREET","D7",631,2008,42
"47351",302,15,3000,13,11201,"176 JOHNSON STREET","RM",56,1926,8
"47352",302,15,2005,13,11201,"173 MYRTLE AVENUE","D6",542,1939,6
"47362",302,15,3005,13,11201,"365 BRIDGE STREET","RM",250,1918,27
"47368",302,15,3011,13,11201,"150 MYRTLE AVENUE","RM",239,2007,37
"47369",302,31,1001,13,11201,"180 MYRTLE AVENUE","D7",228,0,0
"47370",302,31,1001,13,11201,"122 ASHLAND PLACE","D4",184,1958,15
"47371",302,31,1001,13,11201,"86 MYRTLE AVENUE","D6",440,0,0
"47372",302,31,1001,13,11201,"191 WILLOUGHBY STREET","D4",183,1958,15
"47373",302,31,1001,13,11201,"175 WILLOUGHBY STREET","D4",183,1958,15
"47375",302,31,1001,13,11201,"218 MYRTLE AVENUE","D7",95,2008,9
"47376",302,31,1001,13,11201,"81 FLEET PLACE","D6",205,2015,15
"47387",302,31,1000,13,11201,"130 ST EDWARDS STREET","D4",296,1957,15
"47433",302,183,3001,13,11205,"162 WASHINGTON PARK","R1",5,1885,4
"47434",302,183,3001,13,11205,"163 WASHINGTON PARK","R1",4,1905,4
"47435",302,183,3001,13,11205,"174 WASHINGTON PARK","R3",3,1905,3
"47436",302,183,3001,13,11205,"164 WASHINGTON PARK","R1",4,1905,3
"47450",302,183,3000,13,11205,"163 CARLTON AVENUE","D5",32,1925,4
"47469",302,183,3000,13,11205,"159 CARLTON AVENUE","R2",12,1987,4
"47517",302,183,1001,13,11205,"364 MYRTLE AVENUE","RM",3,2005,4
"47518",302,183,1001,13,11205,"174 CLERMONT AVENUE","R1",9,2007,6
"47519",302,183,1001,13,11205,"161 ADELPHI STREET","R1",8,1899,4
"47520",302,183,1000,13,11205,"65 WILLOUGHBY AVENUE","D3",29,1928,6
"47522",302,183,1000,13,11205,"167 CLERMONT AVENUE","D7",111,1900,6
"47538",302,183,1000,13,11205,"181 CLERMONT AVENUE","R4",74,2007,6
"47678",302,183,2000,13,11205,"242 ADELPHI STREET","R1",4,2005,4
"47745",302,33,2003,13,11201,"74 DEKALB AVENUE","D7",369,2007,36
"47761",302,33,2002,13,11201,"1 ROCKWELL PLACE","RM",25,1900,4
"47878",302,33,2000,13,11217,"31 ST FELIX STREET","RM",3,2004,4
"47994",302,33,1000,13,11217,"87 LAFAYETTE AVENUE","RM",3,1901,3.5
"47995",302,33,1000,13,11217,"35 SOUTH ELLIOTT PLACE","R1",5,2004,4
"47996",302,33,1000,13,11217,"4 SOUTH PORTLAND AVE","R1",5,1930,4
"48062",302,181,3000,13,11217,"101 LAFAYETTE AVENUE","D4",204,1931,17
"48063",302,181,3000,13,11217,"93 LAFAYETTE AVENUE","D1",78,1936,10
"48067",302,181,3000,13,11217,"10 SOUTH OXFORD STREET","R1",4,1931,4
"48128",302,181,2000,13,11217,"69 SOUTH OXFORD STREET","R4",22,1931,6
"48129",302,181,2000,13,11205,"246 CUMBERLAND STREET","R6",2,1899,2
"48130",302,181,2000,13,11205,"264 CUMBERLAND STREET","R2",13,1925,4
"48131",302,181,2000,13,11205,"268 CUMBERLAND STREET","R1",8,2008,5
"48132",302,181,2000,13,11205,"256 CUMBERLAND STREET","R1",4,1930,4
"48133",302,181,2000,13,11217,"65 SOUTH OXFORD STREET","R1",4,1930,3
"48141",302,181,1000,13,11205,"249 CUMBERLAND STREET","D1",70,1928,6
"48191",302,181,1000,13,11205,"280 CARLTON AVENUE","R1",4,1833,3
"48192",302,181,1000,13,11205,"237 CUMBERLAND STREET","R3",4,2007,3
"48204",302,181,4001,13,11205,"325 CARLTON AVENUE","R6",2,1901,4
"48316",302,33,2007,15,11217,"96 ROCKWELL PLACE","RM",37,1920,13
"48317",302,33,2007,15,11217,"29 FLATBUSH AVENUE","RM",326,2012,44
"48323",302,33,2008,15,11217,"590 FULTON STREET","RM",586,0,51
"48329",302,33,2009,15,11217,"25 LAFAYETTE AVENUE","D7",35,1900,6
"48339",302,35,1004,15,11217,"113 FLATBUSH AVENUE","D7",337,0,0
"48346",302,35,1003,15,11217,"1 HANSON PLACE","RM",179,1927,41
"48396",302,35,1002,15,11217,"122 FT GREENE PLACE","R1",4,0,3
"48423",302,35,1001,15,11217,"115 FT GREENE PLACE","R1",8,2000,4
"48424",302,35,1001,15,11217,"123 FT GREENE PLACE","R1",6,1920,4
"48474",302,35,2000,13,11217,"751 FULTON STREET","RM",8,1931,3
"48483",302,181,3001,13,11217,"84 LAFAYETTE AVENUE","D7",14,1930,4
"48551",302,181,1001,13,11238,"313 CUMBERLAND STREET","D1",86,1928,6
"48588",302,181,1001,13,11238,"136 LAFAYETTE AVENUE","R6",2,1901,3
"48628",302,181,4002,13,11238,"381 CARLTON AVENUE","RM",27,2003,12
"48673",301,77,3014,15,11231,"22 SOUTH 9 STREET","R4",21,2013,7
"48678",301,537,2013,14,11205,"760 KENT AVENUE","R4",33,2004,6
"48679",301,537,2004,14,11205,"377 FLUSHING AVENUE","D7",99,0,0
"48685",301,537,2003,14,11205,"429 FLUSHING AVENUE","R4",16,2003,8
"48686",301,537,2003,14,11205,"417 FLUSHING AVENUE","R4",16,2004,8
"48687",301,537,2003,14,11205,"405 FLUSHING AVENUE","R4",27,2006,7
"48701",301,531,1003,14,11205,"531 FLUSHING AVENUE","RM",3,1998,4
"48702",301,531,1003,14,11205,"463 FLUSHING AVENUE","R4",14,2006,7
"48703",301,531,1003,14,11205,"461 FLUSHING AVENUE","R4",14,2006,7
"48704",301,531,1003,14,11205,"505 FLUSHING AVENUE","RM",44,2010,7
"48705",301,531,1003,14,11205,"527 FLUSHING AVENUE","R1",6,2013,6
"48707",316,906,3000,23,11212,"1560 EAST NEW YORK AVENUE","D3",815,1954,7
"48765",316,902,1001,23,11212,"1380 EAST NEW YORK AVENUE","D3",232,1974,14
"48785",316,902,1000,23,11212,"1 AMBOY STREET","D3",86,1954,6
"48794",316,924,1002,23,11212,"54 BRISTOL STREET","D3",80,2008,7
"48801",316,924,1002,23,11212,"445 THOMAS S BOYLAND ST","D3",88,2008,7
"48865",316,906,1000,23,11212,"1765 PITKIN AVENUE","D3",54,1954,10
"48921",316,900,6000,17,11212,"2058 UNION STREET","D1",46,1930,6
"49004",316,900,3001,23,11212,"663 HOWARD AVENUE","D1",76,1983,5
"49005",316,900,3001,23,11212,"641 HOWARD AVENUE","D1",23,1920,4
"49006",316,900,3001,23,11212,"625 HOWARD AVENUE","D1",24,1920,4
"49440",316,924,1004,23,11212,"79 BRISTOL STREET","D7",40,1932,6
"49510",316,924,1005,23,11212,"440 ROCKAWAY AVENUE","RM",3,0,4
"49641",316,906,2004,23,11212,"28 BELMONT AVENUE","D1",475,1954,22
"50077",316,912,1000,23,11212,"284 ROCKAWAY AVENUE","D3",618,1954,6
"50481",316,912,2001,23,11212,"619 ROCKAWAY AVENUE","D3",720,1975,6
"50699",316,924,2006,23,11212,"355 CHESTER STREET","D7",107,1974,4
"50703",316,912,3000,23,11212,"263 LIVONIA AVENUE","D3",997,1954,16
"50968",316,916,1000,23,11212,"768 ROCKAWAY AVENUE","D1",66,2013,6
"50975",316,916,1000,23,11212,"730 ROCKAWAY AVENUE","D1",64,2008,7
"50984",316,918,1001,23,11212,"420 WATKINS STREET","D3",260,1976,9
"51266",316,916,2001,23,11212,"774 ROCKAWAY AVENUE","RM",54,2008,6
"51271",316,916,2000,23,11212,"230 RIVERDALE AVENUE","D1",115,2011,7
"51311",316,918,1003,23,11212,"463 WATKINS STREET","D1",120,1978,6
"51693",316,896,2003,23,11212,"39 HEGEMAN AVENUE","D1",161,2010,5
"51929",316,920,2002,23,11212,"187 HEGEMAN AVENUE","D1",385,1969,6
"51960",316,922,2001,23,11212,"1371 LINDEN BOULEVARD","D4",342,1962,17
"51973",316,922,2000,23,11212,"1407 LINDEN BOULEVARD","D4",423,1958,14
"52231",316,908,1013,23,11212,"112 CHRISTOPHER AVENUE","D1",414,1967,24
"52302",316,908,2003,23,11212,"163 CHRISTOPHER AVENUE","D3",536,1967,18
"52338",316,908,3001,23,11212,"365 SACKMAN STREET","D3",131,1966,17
"52354",316,910,1001,23,11212,"373 MOTHER GASTON BLVD","D3",628,1953,14
"52387",316,910,2000,23,11212,"766 BLAKE AVENUE","D1",525,1958,14
"52388",316,910,4002,23,11212,"367 POWELL STREET","D3",119,1958,10
"52402",316,910,3000,23,11212,"603 MOTHER GASTON BLVD","D3",692,1948,14
"52405",316,910,4005,23,11212,"393 POWELL STREET","D3",288,1948,25
"53194",317,882,1001,17,11212,"100 EAST 92 STREET","D1",61,1964,6
"53196",317,882,1001,17,11212,"955 RUTLAND ROAD","D1",60,1963,6
"53273",317,882,1000,17,11212,"1022 EAST 93 STREET","D7",438,1976,10
"53280",317,884,1002,17,11212,"1044 EAST NEW YORK AVENUE","D7",68,2007,7
"53326",317,884,1001,17,11212,"43 EAST 94 STREET","D1",82,1958,6
"53327",317,884,1000,17,11212,"1064 EAST NEW YORK AVENUE","D1",74,1956,7
"53433",317,866,1005,18,11212,"184 REMSEN AVENUE","R3",18,2008,3
"53495",317,882,2001,18,11212,"950 RUTLAND ROAD","D1",172,1958,6
"53566",317,882,2000,18,11212,"180 EAST 93 STREET","D1",70,1929,4
"53994",317,882,3000,18,11212,"1027 CLARKSON AVENUE","D1",81,1950,7
"54176",317,892,3001,18,11212,"178 ROCKAWAY PARKWAY","D1",71,1929,6
"54177",317,892,3001,18,11212,"196 ROCKAWAY PARKWAY","D1",71,1929,6
"54178",317,892,3001,18,11212,"214 ROCKAWAY PARKWAY","D1",71,1929,6
"54206",317,892,3000,18,11212,"165 ROCKAWAY PARKWAY","D1",70,1928,6
"54215",317,892,3000,18,11212,"181 ROCKAWAY PARKWAY","D1",70,1928,6
"54347",317,882,4000,18,11212,"333 EAST 93 STREET","D1",132,1961,6
"54376",317,886,1002,18,11212,"9325 KINGS HIGHWAY","D1",96,1949,6
"54394",317,886,1001,18,11212,"9407 KINGS HIGHWAY","D1",96,1949,6
"54431",317,886,2000,18,11212,"1087 LENOX ROAD","D1",110,1927,6
"54432",317,886,1000,18,11212,"9507 KINGS HIGHWAY","D3",48,1949,6
"54472",317,890,1001,23,11212,"9720 KINGS HIGHWAY","D7",119,1926,6
"54506",317,890,1001,23,11212,"275 ROCKAWAY PARKWAY","D1",78,1952,6
"54595",317,882,4000,18,11212,"9201 KINGS HIGHWAY","D1",72,1951,6
"54660",317,886,3000,18,11212,"9302 KINGS HIGHWAY","D1",59,1928,6
"54689",317,886,2001,18,11212,"1115 WILLMOHR STREET","D1",66,1961,6
"55054",317,890,4000,18,11212,"425 EAST 96 STREET","D1",84,1961,6
"55060",317,890,4000,18,11212,"450 ROCKAWAY PARKWAY","D1",78,1961,6
"55187",317,890,6003,23,11212,"505 ROCKAWAY PARKWAY","D7",54,1931,6
