"","CD","CT2010","CB2010","SchoolDist","ZipCode","Address","BldgClass","UnitsRes","YearBuilt","NumFloors"
"652",302,41,1001,15,11217,"337 STATE STREET","D1",60,1930,6
"760",302,43,2002,15,11201,"333 ATLANTIC AVENUE","D6",22,2014,7
"770",302,43,2002,15,11201,"309 ATLANTIC AVENUE","D7",26,2008,8
"772",302,43,2002,15,11201,"85 SMITH STREET","RM",50,2007,13
"773",302,43,2002,15,11201,"326 STATE STREET","R1",7,1933,4
"837",302,41,1003,15,11217,"404 STATE STREET","D1",60,1928,6
"843",302,41,1003,15,11217,"422 STATE STREET","D4",20,1912,5
"859",302,41,1003,15,11217,"423 ATLANTIC AVENUE","D4",60,1900,6
"901",302,39,1003,15,11217,"503 ATLANTIC AVENUE","RM",9,1900,5
"902",302,39,1003,15,11217,"464 STATE STREET","R3",3,2004,3
"904",302,39,1003,15,11217,"489 ATLANTIC AVENUE","RM",8,2005,6
"905",302,39,1003,15,11217,"457 ATLANTIC AVENUE","RM",21,2004,8
"945",302,39,1004,15,11217,"560 STATE STREET","RM",39,1990,4
"946",302,39,1004,15,11217,"556 STATE STREET","RM",71,2006,8
"958",302,43,4000,15,11201,"267 PACIFIC STREET","D6",60,2013,7
"961",302,43,4000,15,11201,"253 PACIFIC STREET","R6",3,2011,4.5
"1061",302,41,2000,15,11217,"402 ATLANTIC AVENUE","RM",6,1880,4
"1062",302,41,2000,15,11217,"349 PACIFIC STREET","R1",4,1940,4
"1114",302,41,3000,15,11217,"422 ATLANTIC AVENUE","RM",1,1950,3
"1115",302,41,3000,15,11217,"403 PACIFIC STREET","R6",3,1920,4
"1116",302,41,3000,15,11217,"438 ATLANTIC AVENUE","RM",8,2013,6
"1150",302,39,2000,15,11217,"497 PACIFIC STREET","R2",11,1922,4
"1151",302,39,2000,15,11217,"52 3 AVENUE","R2",15,2005,5
"1179",302,39,3000,15,11217,"578 ATLANTIC AVENUE","RM",7,1931,4
"1214",302,43,4005,15,11201,"47 DEAN STREET","R1",10,2007,5
"1237",302,43,3001,15,11201,"89 DEAN STREET","R1",4,1930,3
"1238",302,43,3001,15,11201,"286 PACIFIC STREET","R1",3,1910,4
"1278",302,41,2001,15,11217,"362 PACIFIC STREET","R6",2,0,4
"1279",302,41,2001,15,11217,"376 PACIFIC STREET","R6",2,1899,3.5
"1341",302,41,3001,15,11217,"402 PACIFIC STREET","R1",4,1900,3
"1374",302,39,3001,15,11217,"321 DEAN STREET","RM",1,1910,3
"1375",302,39,3001,15,11217,"357 DEAN STREET","R1",6,2008,6
"1376",302,39,3001,15,11217,"363 DEAN STREET","R1",6,0,6
"1403",302,43,4004,15,11201,"40 DEAN STREET","R2",22,2002,4
"1404",302,43,4004,15,11201,"52 DEAN STREET","R2",23,2006,5
"1464",302,43,3002,15,11201,"89 BERGEN STREET","R1",4,1900,3
"1465",302,43,3002,15,11201,"125 BERGEN STREET","R1",8,2000,4
"1529",302,41,2002,15,11217,"147 BERGEN STREET","R6",2,1899,3.5
"1530",302,41,2002,15,11217,"143 BERGEN STREET","R1",4,1920,4
"1597",302,41,3002,15,11217,"231 BERGEN STREET","R6",3,0,3
"1623",302,39,2002,15,11217,"272 DEAN STREET","R1",4,0,4
"1660",302,39,3002,15,11217,"324 DEAN STREET","R4",20,2005,5
"1664",302,1,1004,13,11201,"90 FURMAN STREET","D8",180,2015,10
"1665",302,1,1004,13,11201,"130 FURMAN STREET","D8",66,2015,4
"1675",302,1,1002,13,11201,"8 OLD FULTON STREET","D4",11,1915,5
"1684",302,1,1000,13,11201,"28 OLD FULTON STREET","D4",85,1906,9
"1690",302,1,3002,13,11201,"55 POPLAR STREET","R4",57,1880,6
"1691",302,1,3002,13,11201,"75 POPLAR STREET","R4",56,1910,4
"1716",302,3.01,5006,13,11201,"204 COLUMBIA HEIGHTS","D1",16,1925,6
"1725",302,3.01,5006,13,11201,"184 COLUMBIA HEIGHTS","D4",19,1921,6
"1728",302,3.01,5006,13,11201,"166 COLUMBIA HEIGHTS","D4",3,1844,5
"1729",302,3.01,5006,13,11201,"160 COLUMBIA HEIGHTS","D4",84,1937,11
"1735",302,3.01,5008,13,11201,"10 MONTAGUE TERRACE","D4",20,1900,4
"1737",302,3.01,5008,13,11201,"6 MONTAGUE TERRACE","D5",20,1900,4
"1738",302,3.01,5008,13,11201,"2 MONTAGUE TERRACE","D4",25,1917,12
"1768",302,1,3003,13,11201,"20 HENRY STREET","R4",39,2012,4
"1769",302,1,3003,13,11201,"72 POPLAR STREET","R4",14,1913,5
"1770",302,1,4000,13,11201,"140 CADMAN PLAZA WEST","D4",250,1967,27
"1809",302,1,1013,13,11201,"66 HICKS STREET","RM",3,1900,4
"1810",302,1,1013,13,11201,"54 HICKS STREET","R6",3,1804,4
"1843",302,1,3004,13,11201,"30 HENRY STREET","R1",5,2013,5
"1844",302,1,4001,13,11201,"75 HENRY STREET","D4",370,1967,33
"1870",302,1,2000,13,11201,"35 ORANGE STREET","D1",48,1924,6
"1878",302,1,3005,13,11201,"80 CRANBERRY STREET","D6",131,1900,13
"1917",302,1,2003,13,11201,"73 WILLOW STREET","R6",2,1831,2
"1918",302,1,3006,13,11201,"45 PINEAPPLE STREET","D4",67,1939,7
"1921",302,1,3006,13,11201,"89 HICKS STREET","D3",48,1940,6
"1925",302,1,3006,13,11201,"54 ORANGE STREET","D4",24,1963,7
"1926",302,1,3006,13,11201,"66 ORANGE STREET","D4",21,1913,5
"1928",302,1,3006,13,11201,"72 ORANGE STREET","D4",41,1938,6
"1942",302,1,3006,13,11201,"59 PINEAPPLE STREET","D4",40,1940,6
"1943",302,3.01,1000,13,11201,"15 CLARK STREET","D4",31,1920,6
"1944",302,3.01,1000,13,11201,"129 COLUMBIA HEIGHTS","D4",37,1900,6
"1958",302,3.01,2000,13,11201,"35 CLARK STREET","D4",34,1923,7
"1959",302,3.01,2000,13,11201,"114 HICKS STREET","R6",2,1960,3.75
"1961",302,5.01,1000,13,11201,"41 CLARK STREET","D4",302,1911,10
"1962",302,5.01,1000,13,11201,"44 PINEAPPLE STREET","D4",275,1929,30
"1963",302,5.01,1000,13,11201,"60 PINEAPPLE STREET","D4",74,1899,8
"1964",302,1,4002,13,11201,"79 CLARK STREET","D4",301,1971,31
"1970",302,3.01,1001,13,11201,"1 PIERREPONT STREET","D4",26,1924,13
"1987",302,3.01,1001,13,11201,"141 COLUMBIA HEIGHTS","D1",18,1979,6
"1988",302,3.01,1001,13,11201,"8 CLARK STREET","D1",42,1931,6
"1989",302,3.01,1001,13,11201,"12 CLARK STREET","D1",12,1936,6
"2002",302,3.01,1001,13,11201,"128 WILLOW STREET","D4",48,1925,6
"2012",302,3.01,1001,13,11201,"19 PIERREPONT STREET","R1",5,1920,5
"2013",302,3.01,1001,13,11201,"183 COLUMBIA HEIGHTS","R1",7,1900,7
"2016",302,3.01,2001,13,11201,"35 PIERREPONT STREET","D4",33,1929,9
"2024",302,3.01,2001,13,11201,"149 WILLOW STREET","D4",20,1900,5
"2028",302,3.01,2001,13,11201,"135 WILLOW STREET","D4",112,1956,10
"2029",302,3.01,2001,13,11201,"115 WILLOW STREET","D4",39,1927,6
"2036",302,3.01,2001,13,11201,"36 CLARK STREET","D1",29,1910,6
"2037",302,3.01,2001,13,11201,"130 HICKS STREET","D4",40,1958,6
"2039",302,3.01,2001,13,11201,"142 HICKS STREET","D4",19,1900,5
"2056",302,3.01,2001,13,11201,"39 PIERREPONT STREET","R6",2,1950,3
"2057",302,3.01,2001,13,11201,"170 HICKS STREET","RM",6,1890,5
"2058",302,5.01,2000,13,11201,"160 HENRY STREET","D4",38,1924,10
"2061",302,5.01,2000,13,11201,"75 PIERREPONT STREET","D1",36,1925,6
"2062",302,5.01,2000,13,11201,"69 PIERREPONT STREET","D4",40,1905,8
"2063",302,5.01,2000,13,11201,"187 HICKS STREET","D4",29,1936,7
"2079",302,5.01,1001,13,11201,"175 HICKS STREET","D4",23,1900,6
"2088",302,5.01,1001,13,11201,"145 HICKS STREET","D4",107,1935,6
"2095",302,5.01,1001,13,11201,"52 CLARK STREET","D5",141,1928,9
"2100",302,5.01,1001,13,11201,"70 CLARK STREET","D4",42,1960,6
"2117",302,5.01,2000,13,11201,"71 PIERREPONT STREET","R1",4,1890,6
"2118",302,5.01,2000,13,11201,"53 PIERREPONT STREET","RM",189,1920,17
"2119",302,5.01,1001,13,11201,"9 COLLEGE PLACE","R4",37,1923,5
"2121",302,5.02,1001,13,11201,"161 HENRY STREET","D4",30,1906,10
"2122",302,5.02,1001,13,11201,"153 HENRY STREET","D4",73,1928,9
"2123",302,5.02,1001,13,11201,"145 HENRY STREET","D1",42,1922,6
"2135",302,5.02,1001,13,11201,"115 HENRY STREET","D7",38,1921,6
"2148",302,5.02,1001,13,11201,"25 MONROE PLACE","D3",67,1938,12
"2150",302,5.02,1001,13,11201,"29 MONROE PLACE","D1",16,1852,5
"2164",302,5.02,1000,13,11201,"34 MONROE PLACE","D1",24,1916,6
"2165",302,5.02,1000,13,11201,"28 MONROE PLACE","D4",35,1955,6
"2166",302,5.02,1000,13,11201,"22 MONROE PLACE","D4",53,1928,12
"2172",302,5.02,1000,13,11201,"10 MONROE PLACE","D4",4,1848,5
"2173",302,5.02,1000,13,11201,"10 CLINTON STREET","D4",121,1971,12
"2174",302,5.02,1000,13,11201,"24 CLINTON STREET","D4",60,1926,6
"2175",302,5.02,1000,13,11201,"40 CLINTON STREET","D4",153,1964,11
"2180",302,3.01,3000,13,11201,"200 HICKS STREET","D4",17,1910,8
"2182",302,3.01,3000,13,11201,"65 MONTAGUE STREET","D4",42,1934,6
"2183",302,3.01,3000,13,11201,"63 MONTAGUE STREET","D1",12,1923,6
"2184",302,3.01,3000,13,11201,"57 MONTAGUE STREET","D4",128,1949,12
"2185",302,3.01,3000,13,11201,"2 PIERREPONT STREET","D1",41,1949,12
"2190",302,3.01,3000,13,11201,"20 PIERREPONT STREET","D4",24,1934,6
"2191",302,3.01,3000,13,11201,"22 PIERREPONT STREET","D4",6,1855,5
"2198",302,3.01,3000,13,11201,"30 PIERREPONT STREET","R1",4,1910,3
"2201",302,5.01,2001,13,11201,"115 MONTAGUE STREET","D7",27,1902,8
"2202",302,5.01,2001,13,11201,"111 MONTAGUE STREET","D7",30,1902,8
"2205",302,5.01,2001,13,11201,"103 MONTAGUE STREET","D4",25,1900,8
"2214",302,5.01,2001,13,11201,"66 PIERREPONT STREET","D4",40,1912,8
"2215",302,5.01,2001,13,11201,"70 PIERREPONT STREET","D3",13,1925,6
"2217",302,5.01,2001,13,11201,"80 PIERREPONT STREET","D4",8,1845,5
"2219",302,5.01,2001,13,11201,"205 HICKS STREET","RM",22,1900,6
"2243",302,5.02,2000,13,11201,"120 PIERREPONT STREET","D1",10,1900,5
"2247",302,5.02,2000,13,11201,"96 PIERREPONT STREET","R1",4,2002,4
"2252",302,9,1000,13,11201,"177 MONTAGUE STREET","D7",13,1916,5
"2259",302,7,1003,13,11201,"360 FURMAN STREET","RM",429,1928,12
"2260",302,3.01,3001,13,11201,"57 REMSEN STREET","D1",14,1900,4
"2263",302,3.01,3001,13,11201,"51 REMSEN STREET","D1",9,1900,4
"2279",302,3.01,3001,13,11201,"62 MONTAGUE STREET","D4",43,1900,10
"2281",302,3.01,3001,13,11201,"74 MONTAGUE STREET","D3",59,1912,8
"2289",302,5.01,3000,13,11201,"87 REMSEN STREET","D4",8,1900,3
"2313",302,5.01,3000,13,11201,"116 MONTAGUE STREET","RM",6,1931,4
"2341",302,5.02,2001,13,11201,"166 MONTAGUE STREET","RM",23,1900,10
"2345",302,9,1001,13,11201,"159 REMSEN STREET","D4",18,1930,7
"2346",302,9,1001,13,11201,"157 REMSEN STREET","D7",58,0,0
"2349",302,9,1001,13,11201,"172 MONTAGUE STREET","D7",62,2013,19
"2350",302,9,1001,13,11201,"182 MONTAGUE STREET","D6",186,1999,34
"2354",302,9,1001,13,11201,"75 CLINTON STREET","RM",74,1910,9
"2355",302,3.01,4005,13,11201,"1 GRACE COURT","D4",24,1926,6
"2357",302,3.01,4005,13,11201,"8 REMSEN STREET","D4",10,1900,6
"2384",302,3.01,4005,13,11201,"41 GRACE COURT","D4",33,1963,6
"2391",302,3.01,4005,13,11201,"19 GRACE COURT","D4",33,1926,6
"2392",302,3.01,4005,13,11201,"24 REMSEN STREET","R1",4,1900,5
"2395",302,3.01,4004,13,11201,"2 GRACE COURT","D4",144,1930,6
"2434",302,5.01,3001,13,11201,"99 JORALEMON STREET","D3",32,1922,6
"2457",302,5.01,3001,13,11201,"60 REMSEN STREET","D4",87,1956,10
"2458",302,5.01,3001,13,11201,"68 REMSEN STREET","D4",103,1928,10
"2459",302,5.01,3001,13,11201,"76 REMSEN STREET","D4",26,1923,6
"2463",302,5.01,3001,13,11201,"90 REMSEN STREET","D5",7,1910,4
"2474",302,5.01,3001,13,11201,"85 JORALEMON STREET","R1",3,1900,4
"2475",302,5.02,2002,13,11201,"114 CLINTON STREET","D4",38,1924,6
"2479",302,5.02,2002,13,11201,"141 JORALEMON STREET","D3",47,1923,6
"2483",302,5.02,2002,13,11201,"131 JORALEMON STREET","D1",36,1917,6
"2486",302,5.02,2002,13,11201,"245 HENRY STREET","D4",56,1957,6
"2493",302,5.02,2002,13,11201,"100 REMSEN STREET","D4",80,1950,8
"2494",302,5.02,2002,13,11201,"110 REMSEN STREET","D7",12,1900,5
"2495",302,5.02,2002,13,11201,"114 REMSEN STREET","D4",7,1900,4
"2504",302,5.02,2002,13,11201,"142 REMSEN STREET","D7",49,1936,6
"2508",302,5.02,2002,13,11201,"132 REMSEN STREET","R2",12,1900,4
"2509",302,5.02,2002,13,11201,"140 REMSEN STREET","RM",2,1950,3
"2515",302,9,1002,13,11201,"165 JORALEMON STREET","D5",40,1930,6
"2539",302,7,1001,13,11201,"60 STATE STREET","R4",11,2001,5
"2540",302,7,1001,13,11201,"324 HICKS STREET","R1",6,2003,6
"2583",302,7,1000,13,11201,"51 COLUMBIA PLACE","R1",4,0,4
"2635",302,7,2002,13,11201,"294 HICKS STREET","R6",2,1900,3
"2636",302,7,2002,13,11201,"298 HICKS STREET","R1",2,1930,3
"2738",302,7,2000,13,11201,"94 JORALEMON STREET","R1",5,1910,3.75
"2739",302,7,2000,13,11201,"242 HENRY STREET","R1",5,1900,3.5
"2740",302,7,2000,13,11201,"13 GARDEN PLACE","R6",2,0,3.5
"2798",302,7,3001,15,11201,"253 HENRY STREET","RM",4,1900,3.75
"2799",302,7,3001,15,11201,"265 HENRY STREET","R6",2,1910,3
"2808",302,7,3000,15,11201,"130 CLINTON STREET","D4",89,1926,12
"2812",302,9,1003,15,11201,"75 LIVINGSTON STREET","D4",105,1927,32
"2814",302,9,1003,15,11201,"59 LIVINGSTON STREET","D1",43,1917,6
"2821",302,9,1003,15,11201,"62 COURT STREET","RM",33,1921,6
"2822",302,9,1003,15,11201,"56 COURT STREET","RM",12,1927,7
"2824",302,9,1004,15,11201,"77 LIVINGSTON STREET","D4",238,1964,18
"2878",302,9,1006,15,11201,"11 SCHERMERHORN STREET","D4",29,1914,6
"2890",302,9,1006,15,11201,"38 LIVINGSTON STREET","D4",28,1914,6
"2900",302,9,1006,15,11201,"76 COURT STREET","D7",25,1900,6
"2907",302,9,1006,15,11201,"31 SCHERMERHORN STREET","R1",2,1920,5
"2910",302,9,1005,15,11201,"61 SCHERMERHORN STREET","D3",68,2006,14
"2922",302,9,1005,15,11201,"110 LIVINGSTON STREET","RM",299,1926,17
"2964",302,9,2000,15,11201,"205 STATE STREET","D1",364,2003,20
"2976",302,9,2000,15,11201,"96 SCHERMERHORN STREET","D4",105,1928,13
"2977",302,9,2000,15,11201,"199 STATE STREET","R4",46,2006,11
"3007",302,7,1004,13,11201,"119 ATLANTIC AVENUE","RM",8,1900,4
"3008",302,7,3003,15,11201,"200 CLINTON STREET","D7",89,1926,6
"3034",302,7,3003,15,11201,"141 ATLANTIC AVENUE","RM",2,1900,3
"3035",302,7,3003,15,11201,"151 ATLANTIC AVENUE","RM",6,0,4
"3036",302,7,3003,15,11201,"118 STATE STREET","R1",4,1900,5
"3037",302,7,3003,15,11201,"149 ATLANTIC AVENUE","RM",3,1900,4
"3078",302,9,2003,15,11201,"251 ATLANTIC AVENUE","D6",74,0,0
"3079",302,9,2003,15,11201,"125 COURT STREET","RM",321,2005,11
"3096",302,43,4001,15,11201,"225 PACIFIC STREET","R4",14,2010,5
"3097",302,43,4001,15,11201,"233 PACIFIC STREET","R4",28,2010,5
"3123",302,43,4002,15,11201,"210 PACIFIC STREET","R1",8,0,7
"3138",302,43,4003,15,11201,"120 BOERUM PLACE","R2",55,1920,4
"3139",302,43,4003,15,11201,"25 BERGEN STREET","R4",15,1910,6
"3140",302,43,4003,15,11201,"17 BERGEN STREET","RM",4,1910,5
"3181",306,45,1001,15,11201,"124 ATLANTIC AVENUE","RM",47,1900,5
"3204",306,45,1000,15,11201,"191 CLINTON STREET","RM",20,1900,5
"3207",306,45,1000,15,11201,"175 PACIFIC STREET","R6",3,2006,3
"3208",306,45,1000,15,11201,"200 ATLANTIC AVENUE","RM",1,2008,5
"3282",306,45,1003,15,11201,"173 AMITY STREET","R1",8,1900,4
"3310",306,49,1002,15,11201,"127 CONGRESS STREET","R6",3,1950,1
"3353",306,45,2001,15,11201,"122 AMITY STREET","R1",4,1931,4
"3413",306,47,1005,15,11201,"86 CONGRESS STREET","R4",30,2009,6
"3414",306,47,1005,15,11201,"75 COLUMBIA STREET","R4",10,2010,7
"3425",306,49,1003,15,11201,"401 HICKS STREET","R2",59,2004,4
"3480",306,45,2003,15,11201,"385 HENRY STREET","RM",1,1931,2
"3481",306,45,2003,15,11201,"4 VERANDAH PLACE","R6",2,1931,4
"3489",306,45,3000,15,11201,"200 CONGRESS STREET","D4",114,1952,6
"3532",306,47,1012,15,11201,"414 HICKS STREET","RR",95,2009,4
"3533",306,47,1012,15,11201,"414 HICKS STREET","R4",41,2009,6
"3584",306,49,2001,15,11201,"417 HICKS STREET","RM",116,1996,6
"3629",306,45,4000,15,11201,"171 BALTIC STREET","R1",2,1899,4
"3630",306,45,4000,15,11201,"184 WARREN STREET","R6",2,1910,3.5
"3631",306,45,4000,15,11201,"191 BALTIC STREET","R6",3,1899,3
"3682",306,45,3001,15,11201,"240 WARREN STREET","R1",5,1900,4
"3701",306,47,1003,15,11231,"115 KANE STREET","D3",12,2006,7
"3710",306,47,1003,15,11231,"113 KANE STREET","R3",6,2013,3
"3744",306,49,2002,15,11201,"418 HENRY STREET","R1",4,2006,5
"3745",306,49,2002,15,11201,"439 HICKS STREET","RM",72,1996,6
"3811",306,45,4002,15,11231,"233 KANE STREET","R6",2,1900,3
"3842",306,47,1006,15,11231,"169 COLUMBIA STREET","D7",56,2007,5
"3883",306,47,1006,15,11231,"42 TIFFANY PLACE","R4",12,2002,6
"3884",306,47,1006,15,11231,"60 TIFFANY PLACE","R2",33,0,4
"3885",306,47,1006,15,11231,"20 TIFFANY PLACE","RM",13,2006,9
"3886",306,47,1007,15,11231,"1 TIFFANY PLACE","R4",70,1921,5
"3887",306,47,1007,15,11231,"63 TIFFANY PLACE","RM",70,1917,8
"3888",306,47,1007,15,11231,"29 TIFFANY PLACE","R4",70,1930,8
"3944",306,49,3001,15,11231,"501 HICKS STREET","R2",34,1922,5
"3945",306,49,3001,15,11231,"473 HICKS STREET","R1",5,2007,4
"4060",306,67,5001,15,11231,"24 STRONG PLACE","R1",5,2004,3
"4061",306,67,5001,15,11231,"481 HENRY STREET","R1",4,2006,3
"4062",306,67,5001,15,11231,"58 STRONG PLACE","R4",23,1900,4
"4115",306,67,5000,15,11231,"229 DE GRAW STREET","R6",2,1900,3
"4191",306,67,1001,15,11231,"249 DE GRAW STREET","R6",2,1920,3
"4241",306,67,1000,15,11231,"27 TOMPKINS PLACE","R6",2,1992,2
"4242",306,67,1000,15,11231,"37 TOMPKINS PLACE","R1",4,1900,4
"4314",306,51,1002,15,11231,"152 DE GRAW STREET","R1",6,1900,3
"4315",306,51,1002,15,11231,"140 DE GRAW STREET","R1",6,2007,5
"4316",306,51,1002,15,11231,"136 DE GRAW STREET","R1",4,1905,4
"4317",306,51,1002,15,11231,"145 SACKETT STREET","R4",14,1989,6
"4318",306,51,1002,15,11231,"148 DE GRAW STREET","R6",3,1899,4
"4351",306,63,1000,15,11231,"492 HENRY STREET","R4",60,1928,5
"4352",306,63,1000,15,11231,"498 HENRY STREET","R1",4,1923,4
"4396",306,67,4000,15,11231,"378 CLINTON STREET","R1",3,1900,4
"4397",306,67,4000,15,11231,"232 DE GRAW STREET","R6",2,1910,3
"4398",306,49,3000,15,11231,"229 SACKETT STREET","R1",4,1900,4
"4450",306,67,2000,15,11231,"361 CLINTON STREET","R3",15,1987,3
"4502",306,51,1004,15,11231,"111 UNION STREET","RM",24,2002,3
"4509",306,51,1005,15,11231,"213 COLUMBIA STREET","D3",8,2013,6
"4528",306,51,1005,15,11231,"158 SACKETT STREET","R2",10,1986,5
"4529",306,51,1005,15,11231,"156 SACKETT STREET","R4",20,2000,6
"4530",306,51,1005,15,11231,"142 SACKETT STREET","R1",6,2001,6
"4531",306,51,1005,15,11231,"138 SACKETT STREET","R1",7,2013,4
"4562",306,63,1001,15,11231,"177 UNION STREET","R1",4,2007,3
"4602",306,67,4001,15,11231,"221 UNION STREET","R3",6,2003,3
"4603",306,67,4001,15,11231,"223 UNION STREET","R6",2,1980,4
"4634",306,67,2001,15,11231,"280 SACKETT STREET","R1",3,1930,4
"4635",306,67,2001,15,11231,"284 SACKETT STREET","R6",3,1931,4
"4636",306,67,2001,15,11231,"291 UNION STREET","RM",32,2008,7
"4707",306,51,2003,15,11231,"234 COLUMBIA STREET","R3",24,1986,2
"4708",306,51,2003,15,11231,"69 PRESIDENT STREET","R3",30,1986,2
"4733",306,51,2002,15,11231,"122 UNION STREET","RM",32,1990,3
"4873",306,67,3000,15,11231,"358 COURT STREET","RM",26,1890,3
"4903",306,51,2004,15,11231,"250 COLUMBIA STREET","R3",27,1986,2
"4904",306,51,2004,15,11231,"250 COLUMBIA STREET","R3",30,1986,2
"4905",306,51,2004,15,11231,"66 PRESIDENT STREET","R3",24,1986,2
"4906",306,51,2004,15,11231,"25 CARROLL STREET","R4",16,1931,5
"4933",306,51,2005,15,11231,"69 CARROLL STREET","RM",13,2005,5
"4934",306,51,2005,15,11231,"118 PRESIDENT STREET","R1",4,1900,3
"4935",306,51,2005,15,11231,"255 COLUMBIA STREET","R4",13,1931,7
"4936",306,51,2005,15,11231,"110 PRESIDENT STREET","R1",4,0,3
"4971",306,63,2000,15,11231,"536 HENRY STREET","R1",4,1920,4
"5015",306,65,1001,15,11231,"555 HENRY STREET","R1",4,1900,4
"5016",306,65,1001,15,11231,"149 CARROLL STREET","R1",8,2006,5
"5017",306,65,1001,15,11231,"192 PRESIDENT STREET","R1",2,1900,5
"5018",306,65,1001,15,11231,"202 PRESIDENT STREET","R6",3,1900,4
"5042",306,65,1000,15,11231,"378 COURT STREET","D6",8,1920,4
"5058",306,65,1000,15,11231,"417 CLINTON STREET","R1",5,1900,4
"5059",306,65,1000,15,11231,"411 CLINTON STREET","R1",10,1920,5
"5091",306,51,3003,15,11231,"34 CARROLL STREET","R3",45,1986,3
"5092",306,51,3003,15,11231,"53 SUMMIT STREET","R1",9,2011,3
"5151",306,63,2001,15,11231,"564 HENRY STREET","R1",4,1900,4
"5240",306,65,2000,15,11231,"85 1 PLACE","R1",5,1900,5
"5241",306,65,2000,15,11231,"79 1 PLACE","R1",5,1900,4
"5263",306,51,3004,15,11231,"296 COLUMBIA STREET","RM",14,1900,5
"5294",306,51,3007,15,11231,"295 COLUMBIA STREET","RM",9,2010,5
"5295",306,51,3007,15,11231,"35 WOODHULL STREET","R6",3,1899,4
"5296",306,51,3007,15,11231,"51 WOODHULL STREET","R1",10,2008,6
"5338",306,63,2002,15,11231,"85 WOODHULL STREET","R1",4,0,4
"5390",306,65,3001,15,11231,"11 2 PLACE","R1",7,1965,7
"5438",306,65,3000,15,11231,"90 1 PLACE","R1",5,1910,4
"5483",306,63,2003,15,11231,"653 HICKS STREET","RM",40,2004,6
"5484",306,63,2003,15,11231,"608 HENRY STREET","RM",4,1930,5
"5534",306,65,4001,15,11231,"34 2 PLACE","R6",2,1930,3
"5585",306,65,4000,15,11231,"100 2 PLACE","R1",3,1900,4
"5586",306,65,4000,15,11231,"74 2 PLACE","R1",10,1922,5
"5587",306,65,4000,15,11231,"84 2 PLACE","R1",4,1930,3
"5770",306,65,6001,15,11231,"16 4 PLACE","R6",2,1900,4
"5831",306,65,6002,15,11231,"100 LUQUER STREET","D1",20,2008,11
"5832",306,65,6002,15,11231,"104 LUQUER STREET","D1",22,2003,5
"5905",306,65,6003,15,11231,"529 CLINTON STREET","RM",15,1900,3
"5956",306,65,7000,15,11231,"150 NELSON STREET","R1",4,1901,4
"5982",306,65,7002,15,11231,"167 WEST 9 STREET","D6",10,2002,7
"5990",306,65,7002,15,11231,"162 HUNTINGTON STREET","R1",6,2000,6
"6013",306,65,7003,15,11231,"562 COURT STREET","RM",8,2007,5
"6080",302,69,4000,15,11201,"62 BERGEN STREET","R6",3,1900,3
"6081",302,69,4000,15,11201,"56 BERGEN STREET","R1",5,1900,4
"6082",302,69,4000,15,11201,"44 BERGEN STREET","R1",8,1931,4
"6083",302,69,4000,15,11201,"11 WYCKOFF STREET","RM",4,1900,5
"6142",302,69,1000,15,11201,"98 BERGEN STREET","R1",4,1900,3
"6143",302,69,1000,15,11201,"121 WYCKOFF STREET","R1",4,2007,5
"6312",302,127,1000,15,11217,"101 3 AVENUE","D3",84,2014,8
"6356",302,127,1000,15,11217,"328 BERGEN STREET","R2",20,2004,5
"6357",302,127,1000,15,11217,"33 ST MARKS PLACE","R6",3,1899,3
"6423",302,69,4001,15,11201,"38 WYCKOFF STREET","R1",8,1900,4
"6424",302,69,4001,15,11201,"305 WARREN STREET","R3",4,2000,3
"6425",302,69,4001,15,11201,"307 WARREN STREET","R3",3,2004,3
"6426",302,69,4001,15,11201,"307A WARREN STREET","R3",2,2002,4
"6427",302,69,4001,15,11201,"303 WARREN STREET","R3",3,2002,2
"6428",302,69,4001,15,11201,"301 WARREN STREET","R3",4,2002,3
"6477",302,69,1001,15,11201,"173 SMITH STREET","RM",42,1905,6
"6478",302,69,1001,15,11201,"94 WYCKOFF STREET","R1",7,1900,4
"6479",302,69,1001,15,11201,"92 WYCKOFF STREET","R1",4,1988,4
"6480",302,69,1001,15,11201,"335 WARREN STREET","R1",8,2007,4
"6481",306,71,4000,15,11217,"179 HOYT STREET","D3",392,1960,6
"6544",302,71,2000,15,11217,"248 WYCKOFF STREET","R1",8,0,4
"6545",302,71,2000,15,11217,"433 WARREN STREET","R2",13,2006,4
"6546",306,127,3000,15,11217,"120 3 AVENUE","D3",709,1965,21
"6587",302,127,1002,13,11217,"565 WARREN STREET","D1",29,2002,7
"6591",302,127,1002,13,11217,"551 WARREN STREET","D1",68,1999,6
"6593",302,127,1002,13,11217,"42 ST MARKS PLACE","R6",3,1899,3
"6653",306,69,3000,15,11201,"318 WARREN STREET","RM",48,1910,4
"6654",306,69,3000,15,11201,"304 WARREN STREET","R1",3,1900,4
"6655",306,69,3000,15,11201,"284 WARREN STREET","R1",4,0,4
"6656",306,69,3000,15,11201,"307 BALTIC STREET","R1",8,2007,5
"6670",306,69,2000,15,11201,"382 WARREN STREET","R3",6,1989,3
"6671",306,69,2000,15,11201,"384 WARREN STREET","R3",24,1989,3
"6672",306,69,2000,15,11201,"373 BALTIC STREET","RM",4,2004,4
"6673",306,69,2000,15,11201,"377 BALTIC STREET","R1",6,2006,4
"6674",306,69,2000,15,11201,"375 BALTIC STREET","R1",6,2006,4
