CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
659527791,01/01/2015,19:38:00,01/01/2015,19:40:00,01/01/2015,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,,STREET,,,,,,,
981082625,01/01/2015,19:30:00,01/01/2015,19:35:00,01/01/2015,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,,,1005657,181039,40.663569288,-73.922840264,"(40.663569288, -73.922840264)"
269750921,01/01/2015,19:30:00,01/01/2015,19:35:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,985600,148459,40.574169725,-73.995141899,"(40.574169725, -73.995141899)"
139873258,01/01/2015,19:28:00,01/01/2015,19:32:00,01/01/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,,STREET,,,1015295,245719,40.841070781,-73.887801679,"(40.841070781, -73.887801679)"
917318466,01/01/2015,19:28:00,01/01/2015,19:50:00,01/01/2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1013077,251130,40.85592989,-73.895794484,"(40.85592989, -73.895794484)"
985862750,01/01/2015,19:25:00,01/01/2015,19:28:00,01/01/2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,10,,TRANSIT - NYC SUBWAY,,,983551,208788,40.73975965,-74.002523863,"(40.73975965, -74.002523863)"
999841828,01/01/2015,19:25:00,01/01/2015,19:30:00,01/01/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,,STREET,,,1004040,186935,40.679756246,-73.928651402,"(40.679756246, -73.928651402)"
736080503,01/01/2015,19:20:00,01/01/2015,19:30:00,01/01/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,,TAXI (YELLOW LICENSED),,,1012906,182501,40.667561658,-73.896705171,"(40.667561658, -73.896705171)"
819515105,01/01/2015,19:20:00,01/01/2015,19:25:00,01/01/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1016824,182391,40.667246186,-73.882582505,"(40.667246186, -73.882582505)"
386490501,01/01/2015,19:15:00,,,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE-HOUSE,,,1010424,178793,40.657391707,-73.905666422,"(40.657391707, -73.905666422)"
198588286,01/01/2015,19:15:00,01/01/2015,19:20:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,,,1050805,194446,40.700144063,-73.759973166,"(40.700144063, -73.759973166)"
392145523,01/01/2015,19:15:00,01/01/2015,19:25:00,01/01/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE - APT. HOUSE,,,1011989,238742,40.821931932,-73.899778736,"(40.821931932, -73.899778736)"
164321263,01/01/2015,19:08:00,01/01/2015,19:08:00,01/01/2015,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,22,,PARK/PLAYGROUND,CENTRAL PARK,,994537,224035,40.781602803,-73.962856404,"(40.781602803, -73.962856404)"
509217334,01/01/2015,19:07:00,01/01/2015,19:15:00,01/01/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,CHAIN STORE,,,1005924,181216,40.664054465,-73.9218773,"(40.664054465, -73.9218773)"
141867840,01/01/2015,19:00:00,01/01/2015,19:15:00,01/01/2015,104,RAPE,159,"RAPE 1,ATTEMPT",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,110,REAR OF,RESIDENCE-HOUSE,,,,,,,
721085381,01/01/2015,19:00:00,01/01/2015,19:20:00,01/01/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,DEPARTMENT STORE,,,981309,197980,40.710093847,-74.01060963,"(40.710093847, -74.01060963)"
558875100,01/01/2015,19:00:00,01/01/2015,19:05:00,01/01/2015,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,,OTHER,,,1031314,260486,40.881530834,-73.829803819,"(40.881530834, -73.829803819)"
